stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0.82,0
 36-46,0,0.81,0,0.81,0,0.81,0,0,0,0,0.81,0,7.25,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,0,0,0,0,0.57,5.74,0.57,0,0,0,0,0,1.15
 60-70,0.98,0,0,0.98,0,0.98,0.98,2.94,0,0,1.96,0,5.89,0,0,0,0,0,0,0
 72-82,4.91,0,0,1.96,0,0,0.98,16.69,0,0,0.98,0,4.91,0,0,0,0,0,0,0
 84-94,9.56,0,0,3.19,0,0,1.06,29.74,0,0,0,0,4.25,0,0,0,1.06,0,0,0
 96-106,12.02,0,1.09,0,0,0,0,60.11,0,2.19,0,0,7.65,0,0,1.09,1.09,0,0,0
108-118,3.06,0.77,0,1.53,0.77,0,0,76.6,0.77,0.77,1.53,0,3.06,0,0,0,0.77,0,0,0
120,0,0,1.96,1.96,0,0,0,99.95,0,0,0,0,15.68,0,0,0,0,0,0,0
