stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,232.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,7.89,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.56,3.15,0,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,8,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,37,4,1,1,1,0,2,0,1,0,4,9,0,0,0,0,1
 24-34,0,0,0.82,0.82,5.75,0,0,6.57,0,1.64,0,8.21,0.82,0,0.82,0,1.64,0,0.82,0.82,0,9.85,0,0,9.03,119.84,0.82,5.75,0,0,0,10.67,0,0.82,0,0,42.68,0,0,3.28,0,0
 36-46,0,0,0.81,0,0.81,0,0,24.17,0,0,0,4.03,0,0,0.81,0.81,0,0.81,0.81,0,1.61,15.31,2.42,0,2.42,123.27,0,3.22,0.81,0,0,9.67,0,1.61,0,0,37.06,0,0,2.42,0,0.81
 48-58,0,0,0,0,5.74,0,0,46.48,0,1.15,0,16.64,0.57,1.15,0.57,0.57,0,0,0.57,0,1.15,15.49,0.57,0.57,1.72,108.45,1.72,1.72,0.57,0,0,9.18,0,0.57,0,0,34.43,0,0.57,6.31,0,1.72
 60-70,0,0,0,0,8.83,0.98,0,58.89,0,0,0,20.61,0,0.98,0,0.98,0.98,0,2.94,0,0.98,23.56,0.98,1.96,4.91,110.91,0,1.96,0,0,0,4.91,0,0.98,0,0,21.59,0,0,1.96,0.98,0.98
 72-82,0,0,1.96,0.98,5.89,8.83,0,72.64,0.98,0.98,3.93,41.23,2.94,0,0.98,2.94,0.98,0,2.94,0.98,0.98,46.14,0.98,0.98,1.96,120.74,0,7.85,3.93,0,0.98,5.89,0,2.94,0.98,0,13.74,0,0.98,2.94,1.96,0.98
 84-94,0,0,1.06,0,9.56,11.68,0,45.67,0,2.12,1.06,16.99,0,2.12,0,2.12,4.25,4.25,1.06,0,0,30.8,1.06,0,1.06,67.97,0,3.19,3.19,0,0,28.68,0,5.31,0,0,12.74,2.12,1.06,9.56,0,1.06
 96-106,0,0,2.19,0,16.39,9.84,1.09,41.53,0,1.09,1.09,28.41,7.65,0,0,1.09,3.28,0,5.46,0,1.09,38.25,1.09,2.19,2.19,56.83,0,14.21,4.37,0,1.09,15.3,0,1.09,0,0,5.46,4.37,3.28,5.46,1.09,0
108-118,0,0,0.77,0,13.02,3.06,0.77,48.26,0,6.13,0,25.28,3.06,0,0,4.6,2.3,2.3,3.06,5.36,1.53,23.74,0.77,1.53,3.06,83.49,2.3,4.6,2.3,0,1.53,9.19,0,0.77,0.77,0,4.6,1.53,2.3,5.36,0.77,2.3
120,0,0,0,0,9.8,3.92,0,25.48,0,3.92,1.96,27.44,3.92,0,1.96,5.88,1.96,3.92,3.92,1.96,0,15.68,1.96,0,0,80.35,1.96,5.88,9.8,0,0,15.68,0,0,0,0,3.92,1.96,0,13.72,0,3.92
