stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,12,4,0,0,0,0,0,2,0,1,1,1,0,0,0,0,3,0,0,4,20,4,0,0,2,1,10,1,2,12,14,0,0,2,0,1
 24-34,0,0,0,1.64,4.93,2.46,13.95,0,1.64,0,0.82,0,0,0.82,0,1.64,0.82,0,0.82,0.82,9.85,0.82,0,7.39,75.52,0,0,1.64,0,4.93,0,1.64,0,3.28,13.13,0,0,4.93,0,0
 36-46,0,0,0,0,1.61,0,18.53,0,0.81,0.81,4.03,0.81,0,0,0,0,0,1.61,0.81,1.61,11.28,0,0.81,3.22,42.7,0.81,0.81,0.81,0,2.42,0,0.81,0,0,8.86,0,0,0.81,0,0
 48-58,0.57,0,0,0,0,0.57,22.95,1.15,0.57,1.15,5.16,0,0,0,0.57,0,0,0.57,0.57,0.57,18.36,0,1.15,2.3,17.21,0.57,0.57,0,0,3.44,0,0,0,0,4.02,0,0,1.72,0,0.57
 60-70,0,0,0,0,1.96,0,15.7,0,0.98,0.98,4.91,0,0,0.98,0,0,0,0,0,0,20.61,0,0,1.96,6.87,0,0,0.98,0,1.96,0,0.98,0,0,1.96,0,0,1.96,0,0
 72-82,0,0,0.98,0,2.94,3.93,12.76,1.96,0.98,0.98,7.85,0,0,0,0.98,0,0,0,0,0,20.61,0,1.96,1.96,4.91,0,0,0,0,1.96,0,0,0.98,0,0.98,0,0.98,2.94,1.96,0
 84-94,0,0,1.06,0,5.31,2.12,10.62,0,0,0,4.25,1.06,1.06,0,2.12,0,0,0,1.06,0,9.56,1.06,0,1.06,4.25,1.06,0,1.06,0,5.31,0,0,0,0,0,0,0,3.19,0,0
 96-106,0,0,1.09,0,2.19,5.46,13.11,0,1.09,0,6.56,4.37,0,1.09,5.46,0,1.09,2.19,0,0,20.76,1.09,0,3.28,14.21,0,0,1.09,0,13.11,0,0,0,0,1.09,1.09,2.19,3.28,0,0
108-118,0,0,0,0,1.53,3.06,5.36,0,0,0.77,4.6,0.77,0,0.77,2.3,1.53,0,0.77,2.3,0,8.43,1.53,0.77,3.83,9.96,0,0,0.77,0,10.72,0,0,0,0,0,0.77,0.77,1.53,0,0
120,0,0,0,0,0,5.88,1.96,1.96,0,1.96,1.96,0,0,0,5.88,0,0,1.96,0,0,11.76,0,0,0,5.88,0,0,0,0,11.76,0,0,0,0,0,1.96,0,7.84,0,0
