stage,endocrine_pancreas,epidermis,eye,glial,gut,mesenchyme,muscle,neural,otic,somites,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,1,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,2.87,0,0,1.15,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,0.98,0
 72-82,1.96,0,0.98,0,0.98,0.98,0,0.98,0.98,0,0,0
 84-94,1.06,0,2.12,0,3.19,0,0,0,0,0,0,0
 96-106,1.09,0,1.09,0,2.19,0,0,4.37,0,0,0,0
108-118,0,0,0,0,2.3,0.77,0,1.53,0,0,0,0.77
120,0,1.96,0,0,5.88,0,0,1.96,0,0,0,0
