stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,4,2,0,1,0,0,0,1,1,0,0,0,0,0,7,0,0,7,99,2,3,0,1,0,0,2,1,4,7,22,0,1,0,0
 24-34,0.82,0,0.82,0,1.64,0.82,0,0,1.64,0,0,0,0,0,0,9.03,0,0,10.67,102.61,0,20.52,0,0,0,0.82,0,0,0,0.82,17.24,0,4.93,0,0.82
 36-46,0,0,0,0,3.22,0,0,0,1.61,0,0,0,0,0,0,19.34,0,0,7.25,159.52,0.81,20.95,0,0,0.81,0,0,0,0,0,24.17,0,0,0,1.61
 48-58,0,0.57,0.57,0,7.46,0,0,4.02,1.72,0,0,0,0,0,0,31.56,0,0,6.31,139.43,0,15.49,0,0,0,0,0,0,0.57,0,17.79,0,2.3,0,1.15
 60-70,0,0,0,0,26.5,0.98,0,0.98,0,0,0,0,0,0.98,0,33.37,0,0,2.94,182.56,0,16.69,1.96,0,0,0,0,0,0,0,21.59,0,3.93,0,0
 72-82,0,3.93,0,0,53.01,0.98,0,5.89,9.82,0,0,0,2.94,0,0,53.99,0,0,10.8,215.97,0,34.36,8.83,0,0,0.98,0,0,0,0,18.65,0.98,3.93,0.98,3.93
 84-94,0,2.12,0,0,30.8,1.06,0,2.12,4.25,0,1.06,0,1.06,0,1.06,37.17,0,0,7.43,131.69,0,14.87,6.37,0,0,0,0,0,0,0,11.68,1.06,8.5,1.06,3.19
 96-106,0,3.28,0,0,42.62,0,0,1.09,13.11,1.09,1.09,1.09,1.09,0,0,31.69,1.09,1.09,6.56,127.86,0,37.16,9.84,0,0,1.09,0,0,0,0,7.65,0,8.74,0,1.09
108-118,0,1.53,0,0.77,36.77,1.53,0.77,0.77,11.49,0,2.3,2.3,0.77,0,0.77,28.34,0,0,4.6,149.36,0,25.28,6.89,0,0,1.53,0,0.77,0,0,3.83,0.77,3.83,0,2.3
120,0,0,1.96,0,43.12,3.92,0,0,3.92,0,5.88,0,3.92,0,0,41.16,0,0,0,105.83,0,19.6,3.92,0,0,0,0,0,0,0,7.84,0,7.84,0,0
