stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,15.73,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,58,0,3,1,0,0,0,0,0,24,0,0,1,0,0
 24-34,0,0.82,0,0,15.6,0,0,0,1.64,0,0,0,0,0,0,0,0.82,0,0,1.64,265.96,0,7.39,1.64,0,0,0,0,0.82,84.55,0,0,0,0,0
 36-46,0,0,0.81,0,58.81,0,0,0,5.64,0,0,0,0,0,0,0,3.22,0,0,1.61,633.26,0.81,10.47,0,0,0,2.42,0,0,150.66,0,0,0,0,0.81
 48-58,0,0,1.15,0,121.65,0.57,0,0,16.64,0.57,0,1.15,0.57,0.57,0.57,0,10.9,0,0,1.15,813.66,0,8.61,0.57,0,0,0,0,0,162.39,0,0,0.57,0,0
 60-70,0,0,1.96,0,208.08,0.98,0,0,15.7,0,0,0,0.98,0,0,0,9.82,0,0,0.98,1175.86,0,9.82,0.98,0,0,0,1.96,0,169.8,0.98,0,0,0,0
 72-82,0,1.96,5.89,0.98,205.17,0.98,0.98,1.96,24.54,0,0,0,0,0,0,0.98,17.67,0,0,3.93,856.99,0,16.69,0.98,0,0,2.94,0,0,82.46,0,0,0.98,2.94,0.98
 84-94,0,1.06,6.37,1.06,130.63,0,0,0,20.18,0,0,0,2.12,1.06,1.06,0,10.62,0,0,0,401.45,1.06,12.74,3.19,0,0,0,0,0,48.85,0,1.06,0,1.06,0
 96-106,0,0,4.37,1.09,107.1,0,0,1.09,17.49,0,0,1.09,2.19,3.28,3.28,2.19,10.93,1.09,1.09,1.09,346.43,0,14.21,6.56,0,0,2.19,0,0,14.21,0,0,1.09,0,0
108-118,0,1.53,4.6,0,90.38,0.77,0,0.77,29.11,0.77,0,0,0,1.53,1.53,0,11.49,0,0.77,0,406.73,0,11.49,3.06,0,0.77,0.77,0,0,16.09,2.3,0,2.3,0,0
120,0,0,9.8,3.92,90.15,0,0,1.96,31.36,0,0,0,0,0,0,0,3.92,0,1.96,0,521.3,0,7.84,3.92,0,0,1.96,0,0,19.6,0,1.96,0,0,0
