stage,eye,glial,heart,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,3.15,0,3.15,0,0,0,0
 14-21,1,0,0,1,0,1,0,0,0,2,0,0,0
 24-34,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0
 36-46,0.81,0.81,0.81,0,0,0,0.81,0,0,0,0.81,0,0
 48-58,0.57,0,0,0,0.57,1.72,0,0,0,0,0,0,0
 72-82,0.98,0.98,0,0,0,0,0,0.98,0,0,0,0.98,0
 84-94,1.06,0,0,0,0,2.12,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,3.92,0,0,0,0,0,0,0
