stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,1,1,5,1,0,0,0,0,0
 24-34,0,0,3.28,0,0,0.82,0,15.6,0,0,0,0.82,0,0,0,0,0,32.83,0,0,8.21,3.28,0,0,0,0,2.46,0,0,3.28,1.64,0,0,0,0,0,0
 36-46,0,0,0,0,0,1.61,0,29,2.42,0.81,0,0.81,0,0,0,0.81,0,203.83,0,7.25,36.26,19.34,0,0.81,0,0,0,0,0,4.83,0,2.42,0,0,1.61,0,0
 48-58,0,0,3.44,0,0,6.89,1.72,17.79,8.61,1.15,0,0,0,0,0,0,1.15,369.53,0.57,12.62,55.09,29.84,0,0,0,1.15,0,0,0,1.72,0,3.44,0,0.57,0,0,0.57
 60-70,0,0,0,0,0,11.78,2.94,5.89,3.93,6.87,0,0.98,0,0,0,0.98,0,478,0.98,31.41,30.43,30.43,0.98,1.96,0.98,0.98,1.96,0,0,3.93,0,5.89,0,3.93,0,12.76,0.98
 72-82,0.98,1.96,1.96,0,0,30.43,7.85,10.8,6.87,14.72,1.96,0,0,0,0,0,0,608.63,0,33.38,38.28,35.34,0,0.98,0.98,0,0,0.98,0,1.96,0,3.93,0,8.83,1.96,14.72,0
 84-94,0,0,3.19,0,0,43.54,3.19,11.68,4.25,12.74,1.06,0,0,0,1.06,0,0,465.17,1.06,30.8,29.74,19.12,1.06,0,0,0,1.06,0,0,2.12,0,2.12,1.06,9.56,1.06,15.93,0
 96-106,2.19,0,4.37,3.28,0,32.79,5.46,13.11,3.28,18.58,0,1.09,1.09,1.09,0,1.09,0,611.99,1.09,24.04,27.32,40.44,0,0,2.19,1.09,1.09,0,0,5.46,0,0,1.09,8.74,0,14.21,1.09
108-118,0,0.77,2.3,0,0.77,14.55,9.19,9.19,2.3,9.96,0.77,0,0,0,0.77,3.06,0,468,1.53,16.09,22.21,34.47,0.77,0,4.6,0,0.77,0,0,7.66,0,0.77,0,6.13,0.77,3.06,0
120,0,0,3.92,1.96,0,13.72,5.88,11.76,3.92,7.84,0,0,0,0,0,3.92,0,397.84,0,9.8,15.68,23.52,0,0,1.96,0,3.92,0,1.96,0,0,1.96,0,3.92,1.96,3.92,0
