stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,9,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,3,9,0,0,0,0,0,4,2,1,44,1,1,8,0,0,3,0,0
 24-34,0,0,0,1.64,0,6.57,0,0.82,0,0.82,0,0,0,0,1.64,0,0,0,0,10.67,0,0,3.28,39.4,0,2.46,2.46,0,0,14.78,0,0,86.19,0,0.82,4.93,0,0,2.46,0,0
 36-46,0,0,0.81,1.61,0,2.42,0,0,0,1.61,0,0,0,0,0,0,0,0.81,0.81,8.06,0,0,0.81,24.98,0.81,0.81,0,0,0,13.7,0.81,0,53.98,0,0,2.42,0,0,2.42,0,0.81
 48-58,0,0,0,2.3,0,4.59,0,0,0,4.02,0,0,0.57,0,0.57,0.57,0.57,0.57,0,11.48,0,0,2.3,21.23,0,0,2.87,0,0,4.59,0,0,36.72,1.15,0,4.02,0,0,4.02,0,0
 60-70,0,0.98,0,0,0,9.82,0,0.98,0,12.76,0,0,0,0.98,0,0,1.96,0.98,0,10.8,0,0,0.98,23.56,0,0,4.91,0,0,2.94,0,0,41.22,0.98,0,1.96,0.98,0,2.94,0,0
 72-82,0,0,0,3.93,0.98,8.83,0.98,0,2.94,16.69,8.83,1.96,0,0.98,0.98,2.94,5.89,0,0,30.43,0,0,0.98,24.54,0,1.96,12.76,0,0,7.85,0,0,65.77,0,0,0,0,0.98,2.94,0.98,0.98
 84-94,0,0,0,2.12,1.06,8.5,0,0,0,9.56,18.05,0,0,0,3.19,0,8.5,1.06,0,8.5,0,0,8.5,24.43,0,0,18.05,0,0,11.68,0,0,131.69,0,0,3.19,0,0,4.25,0,0
 96-106,0,0,0,2.19,0,10.93,0,0,1.09,4.37,100.54,0,0,1.09,0,1.09,15.3,0,0,8.74,1.09,1.09,3.28,28.41,0,2.19,25.14,0,0,7.65,0,0,135.51,2.19,0,0,1.09,1.09,8.74,1.09,0
108-118,0,0,0,6.13,0,11.49,0.77,0,2.3,8.43,206.81,0,0,1.53,0.77,2.3,9.19,0.77,0,16.85,0,0,0.77,27.57,0,0,16.85,0,0.77,7.66,0,0,125.62,1.53,0,0,3.83,2.3,3.06,0.77,0
120,0,0,0,7.84,1.96,13.72,1.96,3.92,0,3.92,139.14,0,0,1.96,1.96,0,9.8,7.84,0,13.72,0,0,3.92,41.16,1.96,0,9.8,0,1.96,13.72,0,0,72.51,1.96,0,0,0,1.96,5.88,0,0
