stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.89,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,86.75,5.26,0,0,26.29,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,3.15,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,207.7,3.15,0,0,62.94,0,6.29,0,12.59,3.15,0,0,0,0
 14-21,0,0,1,7,0,3,0,0,3,0,0,0,0,0,0,4,0,0,2,51,4,0,1,3,2,0,5,0,6,13,0,0,0
 24-34,0,0,0,0.82,0,9.03,0,0,1.64,0,0,0,0.82,0,0,13.95,0,0.82,6.57,102.61,2.46,0.82,0,0,0.82,0,0,0,0.82,16.42,0,0,0.82
 36-46,0,0,0.81,0,0,9.67,0.81,0,2.42,0,0,0,0.81,0,0,4.83,0,0,4.83,33.03,0,0,0,0,0,0,0,0,0,6.45,0.81,0,0
 48-58,0,0,0,0.57,0,17.79,0,0,2.3,0,0,0,0,0,0.57,2.3,0.57,0,1.72,13.77,0,0,0,0,0,0,0,0,0,3.44,0.57,0,0
 60-70,0,0,0,0.98,0,7.85,0,0.98,2.94,0,0,0,0,0.98,0,3.93,0,0,0,4.91,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0
 72-82,0,0,0,0,0,9.82,0,0.98,7.85,0,0.98,0,0.98,0,0,6.87,0,0,2.94,11.78,0,0,0,0,4.91,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,4.25,0,0,1.06,0,0,0,0,0,0,4.25,0,0,0,2.12,1.06,0,0,0,0,0,0,0,0,1.06,0,0,1.06
 96-106,0,0,0,1.09,0,5.46,0,0,0,0,1.09,2.19,0,0,0,5.46,1.09,0,0,4.37,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,3.06,0,0,2.3,0,0,0,0,0,0.77,4.6,0,0,0,6.89,0,0,0,0,1.53,0,0,0,0,0,0,0.77,0
120,0,0,0,1.96,3.92,0,0,0,1.96,0,0,1.96,0,0,0,1.96,0,0,1.96,5.88,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0
