stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
 14-21,1,1,0,0,0,1,0,0,0,0,0,1,0,0,22,0,1,1,0,2,7,0,0
 24-34,0.82,0,4.93,0,0,0.82,0,0,1.64,0,0.82,5.75,0,0,61.56,1.64,0,0,0.82,0,4.93,0.82,0
 36-46,1.61,0,20.14,0,0,1.61,0,0,0,0,0,11.28,0,0.81,76.54,0,0,1.61,0,0,14.5,0,0.81
 48-58,0,0.57,13.77,0.57,0.57,1.15,0.57,0,0,0,0,2.3,2.3,0.57,17.21,0,0,0,0,0,2.3,0,0
 60-70,0,0,18.65,0,0,0,0,0.98,0,0,0,3.93,0,0,9.82,0,0,0,0,0,0,0.98,0
 72-82,0.98,0,1.96,0,0,0.98,0,0,0,0,0,1.96,0,0.98,5.89,0,0,0.98,0,0,0,0.98,0
 84-94,2.12,0,14.87,0,0,2.12,1.06,0,0,0,0,6.37,0,1.06,9.56,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,6.56,0,0,1.09,1.09,0,1.09,0,0,2.19,0,0,2.19,0,2.19,0,0,0,0,0,0
108-118,0,0.77,4.6,0,0,3.06,0.77,0,0.77,0.77,0,2.3,0,1.53,9.19,0,0,0,0,0,0.77,0,0
120,0,0,3.92,0,0,1.96,0,0,0,0,0,1.96,0,0,7.84,0,0,0,0,0,0,1.96,0
