stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,0,4.1,0,0,0,0,0
 36-46,0,0,0,0,4.83,0,0,1.61,0,0,0.81,0,3.22,0.81,0,0,0,0.81
 48-58,0,0,0,0,2.3,0,0,0.57,0,0,0.57,0,2.3,0,0,0,0,1.15
 60-70,0,0,0,0,37.3,0,0.98,0.98,0.98,0,0,0,8.83,0,0,0,0,0.98
 72-82,0,0.98,0.98,0,96.2,0.98,0,1.96,0,0,0.98,0,29.45,0,0,0,0,1.96
 84-94,0,0,1.06,1.06,98.77,0,0,2.12,0,0,0,0,6.37,0,0,0,0,0
 96-106,0,0,1.09,0,95.08,1.09,0,0,0,1.09,0,1.09,10.93,0,1.09,0,1.09,0
108-118,0,0,0,0,91.15,0,0,3.06,0,0,0,0.77,20.68,0.77,0,0,0,0.77
120,0,0,0,1.96,94.07,0,1.96,0,0,0,1.96,0,29.4,0,0,0,0,0
