stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,830.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,533.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,0,0,0,0,0,10.51,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,176.12,0,0,0,52.57,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,22.03,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,84.97,0,0,0,59.79,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,22,7,0,14,0,0,1,1,7,0,0,0,0,0,0,0,8,0,0,17,123,0,1,2,3,0,2,0,30,5,31,36,0,0,1,0,0
 24-34,0,0,2.46,0.82,2.46,0.82,0,34.48,0,0,3.28,1.64,0.82,0,0,4.1,0,0,0,0,23.8,0.82,0,9.85,261.03,1.64,8.21,1.64,0,0,0,0,0,1.64,3.28,81.26,0,0,1.64,0,0.82
 36-46,0,0,0,0,2.42,0,0,28.2,0,0.81,6.45,0,0,0,0,0,0,0,0,0,15.31,2.42,0,4.03,468.09,0.81,11.28,0.81,0,0,0.81,0,0,2.42,0,74.93,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,111.89,1.15,1.72,16.07,1.15,0,0,0,0.57,1.15,0.57,1.15,0.57,21.23,1.15,1.15,7.46,553.15,0.57,6.89,0,0,0,0,0,0,2.3,0,101.56,0,0,1.15,0,0.57
 60-70,0,0,0.98,0,1.96,0,0,259.12,0,1.96,14.72,2.94,0,0,0.98,0,0,0,0,0.98,28.46,0,1.96,1.96,753.81,0,7.85,2.94,0,0,0,0,0,0.98,0,93.24,0,0.98,0,0,0
 72-82,0,0,0,0,6.87,0,0,255.23,0,1.96,24.54,2.94,0,0.98,0.98,0.98,0,0,0,0.98,40.25,0,1.96,6.87,626.3,1.96,4.91,0.98,0,0.98,0.98,0,0,2.94,0,38.28,0.98,1.96,1.96,1.96,2.94
 84-94,0,0,0,0,7.43,0,1.06,134.88,0,3.19,18.05,1.06,0,1.06,1.06,0,0,0,0,0,19.12,0,0,1.06,265.51,0,4.25,4.25,0,0,1.06,0,0,3.19,0,26.55,0,0,1.06,0,2.12
 96-106,0,0,1.09,0,3.28,1.09,1.09,102.73,2.19,3.28,10.93,4.37,0,0,5.46,4.37,0,1.09,1.09,0,22.95,0,0,7.65,205.46,0,4.37,6.56,0,0,4.37,0,0,0,0,9.84,0,1.09,1.09,1.09,1.09
108-118,0,0,1.53,0,6.89,2.3,0.77,81.96,0,0.77,17.62,3.06,0,0,1.53,0.77,0,0,0.77,0,18.38,0,0.77,4.6,197.62,0.77,3.83,1.53,0,0.77,3.06,0,0,1.53,0,4.6,1.53,0.77,3.06,0.77,1.53
120,0,0,0,0,15.68,3.92,0,74.47,1.96,0,5.88,9.8,0,0,1.96,0,0,0,1.96,0,17.64,0,0,5.88,205.78,0,1.96,1.96,0,0,0,0,0,0,0,9.8,0,0,0,0,0
