stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,25.45,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,2.42,0,0,0,0,29,0,0,0.81,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,0,0,0,0,1.72,0,0,0.57,1.15,0,0,2.3,0,0.57,0,0,54.51,0,0,0.57,0,0,0,0
 60-70,0,6.87,0,0,5.89,0,0.98,0,0.98,0,0,6.87,0,0,0.98,0.98,0,0,9.82,0,0,0,0,329.79,0,0,2.94,0,0,0,0.98
 72-82,0,24.54,0,0,9.82,0.98,5.89,0.98,0,0,0,28.47,0,0,8.83,7.85,0,0,28.47,0.98,0.98,0,0,575.25,0,0,0,0.98,0,0,0
 84-94,0,38.23,1.06,0,3.19,0,15.93,0,3.19,0,0,39.3,0,0,5.31,7.43,0,1.06,11.68,0,0,0,1.06,1228.78,2.12,0,2.12,0,0,0,0
 96-106,0,98.36,3.28,1.09,21.86,0,59.01,1.09,6.56,2.19,3.28,125.68,3.28,5.46,13.11,31.69,2.19,6.56,51.36,0,2.19,4.37,0,2538.68,1.09,1.09,0,3.28,1.09,0,1.09
108-118,1.53,67.4,2.3,0.77,9.96,0,57.45,0,6.13,0.77,1.53,88.09,0.77,2.3,7.66,33.7,0.77,0.77,34.47,0,0.77,0,0.77,1801.54,0.77,0,0,1.53,0,1.53,0
120,0,35.28,0,0,9.8,0,27.44,0,3.92,1.96,0,45.08,0,0,0,11.76,0,0,17.64,0,0,3.92,0,887.78,0,0,0,0,0,0,1.96
