stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,39.43,7.89,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,25.18,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,6,0,6,0,0,1,0,0,0,1,0,0,0,0,4,0,0,4,35,2,0,0,0,0,0,0,6,0,1,4,12,0,0,1,0,0
 24-34,0,0,0,4.93,0,9.03,0.82,0,3.28,0,0,0.82,9.85,0.82,0,0.82,0,8.21,0,0,2.46,109.17,0,0,0,0,0,3.28,0,0,0,0,1.64,35.3,0,0,1.64,0,0
 36-46,0,0,0,0,0,11.28,0,0.81,4.83,0,0,0,14.5,0,0,0,1.61,9.67,0,0,2.42,74.12,0.81,0.81,0,0,0,1.61,0,0,0,0,0,13.7,0,0,0.81,0,1.61
 48-58,0,0,0,0.57,0,17.21,0,0.57,4.02,0,0,0.57,25.82,0,0,0.57,0,14.35,0,0.57,3.44,39.59,0,0,0.57,0,0,1.72,0,0,0,0,0,9.18,0,0,0,0,0
 60-70,0,0,0,0,0,20.61,0,1.96,11.78,0,0,0,24.54,0,0,0,0.98,13.74,0,0.98,0.98,21.59,0.98,0.98,0,0,0,1.96,0,0,0,0,0,8.83,0,0,0,0,0
 72-82,0,0,0,0,0.98,8.83,0,1.96,9.82,0.98,0,0,40.25,0.98,0,0.98,0,22.58,0,0,1.96,21.6,0,0,1.96,0,0.98,0,0,0,0,0,0,2.94,0,1.96,2.94,0.98,0
 84-94,0,0,0,3.19,1.06,18.05,0,0,7.43,0,0,0,50.98,1.06,1.06,0,0,29.74,0,1.06,2.12,14.87,0,0,0,0,0,2.12,0,0,0,0,0,2.12,1.06,0,2.12,2.12,1.06
 96-106,0,0,0,2.19,2.19,7.65,0,1.09,7.65,2.19,0,1.09,69.94,0,1.09,0,0,26.23,0,0,3.28,14.21,0,0,1.09,0,0,3.28,0,0,0,0,0,0,1.09,2.19,3.28,0,1.09
108-118,0,0,0,2.3,0,3.06,0.77,0.77,11.49,0.77,0,0,62.04,0,2.3,0,0,27.57,0.77,0,5.36,22.98,0.77,0,0.77,0,0,1.53,0,0,0,0,0,1.53,0,0,1.53,0,2.3
120,0,0,0,3.92,1.96,7.84,0,0,9.8,0,0,0,48.99,0,0,0,0,15.68,0,0,1.96,5.88,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,1.96,3.92,0,0
