stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1146.48,15154.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711.61,0,0,0,0,0,0,0,0,0,0
  5-6,1115.59,9470.29,12.26,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,306.48,18.39,0,67.43,0,153.24,0,0,0,0,0,0,0,0,0,0
  7-9,57.83,34.17,68.35,0,0,57.83,0,0,65.72,0,0,0,0,0,0,0,0,891.13,44.69,0,286.53,0,7.89,92,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,9.44,0,0,28.32,0,0,9.44,0,0,0,0,0,0,0,0,251.76,28.32,0,66.09,0,0,78.67,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,1,5,1,2,0,2,0,0,0,0,1,0,6,0,4,50,1,0,1,0,1,18,3,0,0,3,7,0,0,0,1
 24-34,0,0,0,0,3.28,22.98,0,1.64,0,2.46,0,0,0.82,5.75,3.28,0,0,53.36,0,0,0,0,0.82,0.82,0,0,0,1.64,18.06,0,3.28,0,7.39
 36-46,0,0,0,0,3.22,17.72,0.81,0,0,12.09,1.61,0,0,9.67,1.61,0.81,0,25.78,0.81,0,0,0,0,1.61,0,0,0,0,12.09,0,1.61,0,8.86
 48-58,0,0,0,0.57,0,21.23,0,4.02,0,6.89,4.02,0.57,0,6.89,6.89,0,1.15,13.2,0.57,0,0,0,0,0,0,0,0,0,1.72,0,1.72,0,13.2
 60-70,0,0,0,0,0,10.8,0,2.94,0,10.8,11.78,0,0,3.93,8.83,0,0.98,8.83,0.98,0,0,0,0,0,0,0,0,0,0.98,0,1.96,0.98,3.93
 72-82,0,0,0,0,0,8.83,0,4.91,0,13.74,13.74,0,0,0,12.76,1.96,0,7.85,0,0,0,0.98,0,0,0,0,0,0,0,0,4.91,0,8.83
 84-94,0,0,0,0,0,9.56,0,1.06,0,30.8,16.99,0,0,3.19,4.25,1.06,0,5.31,0,0,0,0,0,0,0,3.19,1.06,0,0,0,5.31,1.06,3.19
 96-106,0,0,0,1.09,0,7.65,1.09,1.09,0,28.41,10.93,0,0,0,4.37,0,1.09,5.46,0,0,0,0,0,0,0,1.09,0,0,1.09,1.09,3.28,1.09,2.19
108-118,0,0,0,0,0,7.66,0,0.77,0,21.45,22.21,0,0.77,2.3,5.36,0,0,8.43,0,0.77,0,0,0,1.53,0,0,0,0,0,0,1.53,0.77,1.53
120,0,0,0,0,0,1.96,0,0,0,19.6,15.68,0,0,1.96,1.96,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96
