stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0,0,0,30.37,0,0,0,0,0,18.88,0,0,0,0
 36-46,0,0.81,0,0,3.22,0,0,0,0,0,0,0,120.04,0.81,0,0,0,0,39.48,0,0.81,0,0
 48-58,0,0.57,0,0,17.79,5.16,0,0,0,0.57,0,0,211.73,0,0,0,0,0,61.4,0,0,0,0
 60-70,0,0.98,0.98,0,134.47,8.83,0,0,0,0,1.96,0.98,423.04,0,0,0,0,0,67.73,0,0,0,0
 72-82,0,0,2.94,0.98,164.92,29.45,0,0,0,0,7.85,0.98,374.01,0.98,0.98,0,0,0,39.27,0.98,0.98,1.96,0.98
 84-94,0,0,4.25,0,99.83,8.5,1.06,0,0,0,1.06,0,215.59,0,0,2.12,0,0,31.86,0,1.06,1.06,0
 96-106,0,0,3.28,0,88.52,14.21,0,0,0,0,5.46,2.19,172.67,1.09,1.09,0,0,1.09,10.93,0,0,0,0
108-118,0,0,4.6,1.53,60.51,9.19,0.77,0,0.77,0.77,2.3,0,193.02,0,0,0.77,0,0,5.36,0,0,0,0
120,0,0,3.92,0,74.47,11.76,0,0,0,0,3.92,0,282.21,0,1.96,1.96,0,0,19.6,0,0,0,0
