stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,13.18,645.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,12.26,386.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,12.26,0,0,0,0,0,0
  7-9,2.63,15.77,18.4,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,197.15,7.89,0,0,52.57,0,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,176.23,9.44,0,0,50.35,0,0,6.29,0,0,0,0
 14-21,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,29,0,1,0,1,0,4,0,0,2,2,0
 24-34,0,0,0,0.82,0,4.1,0,0.82,1.64,0,0,0,0,0,0,0,1.64,0.82,32.01,0,0.82,0.82,0,0.82,0,0,0,0,9.85,0
 36-46,0,0,0,0,0,10.47,0,0,2.42,0,0,0,0,0,0,0,3.22,0.81,35.45,0,0,0,0,0.81,0,0,0,0,7.25,0
 48-58,0,0,0,0.57,0,10.33,0,0,2.3,0,0,0,0,0.57,0,0.57,5.16,0.57,32.71,0,0,0,0,0,0,0,0,0,8.03,0
 60-70,0,0,0,0,0,4.91,0,0,1.96,0,0,0,0,0,0,0,0,0,26.5,0,0.98,0,0,0,0,0,0,0,2.94,0
 72-82,0,0,0,0.98,0.98,5.89,0.98,0,0.98,0,0,0,0,0,0.98,0,3.93,0,22.58,0,0,0,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,2.12,0,9.56,0,0,2.12,0,0,0,1.06,0,0,0,4.25,1.06,13.81,0,0,0,0,1.06,0,2.12,0,0,3.19,1.06
 96-106,0,0,0,1.09,0,6.56,0,0,1.09,0,0,1.09,1.09,0,0,0,2.19,1.09,7.65,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,6.13,1.53,0.77,2.3,0,0,0,0,0,0,0,4.6,0.77,13.79,0,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0
