stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,329.45,4862.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0,0,0,0,0
  5-6,165.5,2813.5,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,73.56,12.26,0,0,18.39,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,13.14,0,18.4,0,0,0,26.29,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,323.33,13.14,0,0,131.44,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,6.29,0,15.73,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,144.76,6.29,0,0,62.94,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,6,0,0,0,9,1,1,0,0,0,0,0,1,0,0,2,35,2,0,0,0,0,0,0,26,0,0,12,58,0,0,0,0,0
 24-34,0,0,4.93,0,0.82,0.82,0,22.98,0,0,0,7.39,0.82,0,0,1.64,0.82,0,2.46,7.39,0,0,2.46,114.1,0.82,0.82,0,0,0,0,0,0,0,0,6.57,57.46,0,0,1.64,0,0.82
 36-46,0,0,2.42,0,0.81,0.81,0,36.26,0,0.81,0.81,2.42,0,0,0,1.61,0,0,0.81,7.25,3.22,0,2.42,165.97,0,0,1.61,0,0,0,0,0,1.61,0,0,33.03,0,0,4.83,0,0.81
 48-58,0,0,0.57,0,1.72,0,0,55.09,0,0,0,6.89,0.57,1.72,2.3,4.02,0.57,0,0,8.03,4.02,0.57,2.87,122.22,0,0,0,0,0.57,0.57,0,0,0.57,0.57,0,21.8,0,1.15,5.16,0,0
 60-70,0,0,2.94,0,2.94,3.93,0,61.84,0,0,2.94,10.8,2.94,0,0.98,6.87,0,0,0,25.52,4.91,0.98,1.96,146.25,0,1.96,0,0,1.96,0.98,0,0,0.98,0,0,19.63,0,2.94,4.91,0,0
 72-82,0,0,10.8,0,2.94,4.91,0,53.99,0,0,0,12.76,1.96,0.98,0.98,1.96,0,0,0,28.47,5.89,0.98,1.96,61.84,0,0.98,0,0,0,0,0,0,0,0,0,14.72,0,1.96,13.74,2.94,0.98
 84-94,0,0,11.68,0,1.06,5.31,0,77.53,1.06,0,2.12,10.62,7.43,1.06,0,11.68,0,0,0,24.43,6.37,9.56,3.19,63.72,0,0,0,0,1.06,0,0,0,1.06,0,0,12.74,0,2.12,11.68,2.12,0
 96-106,0,0,9.84,0,0,12.02,0,62.29,0,0,0,5.46,8.74,0,2.19,9.84,1.09,0,0,17.49,9.84,2.19,3.28,34.97,0,0,0,0,1.09,4.37,0,0,0,0,0,13.11,0,5.46,9.84,9.84,0
108-118,0,0,3.83,0,1.53,4.6,0.77,61.28,0,0.77,1.53,8.43,14.55,0,0.77,6.13,0.77,0.77,0,14.55,3.83,0,0.77,43.66,0,0,0.77,0,0,0,0,0,0,0,0,6.13,0.77,1.53,5.36,2.3,0
120,0,0,13.72,0,3.92,0,0,21.56,1.96,0,1.96,5.88,19.6,0,0,5.88,1.96,0,1.96,5.88,1.96,0,0,58.79,0,0,1.96,0,0,0,0,0,0,0,0,7.84,0,0,1.96,1.96,0
