stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,22.03,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,147.91,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,7,2,20,0,0,7,0,4,1,0,0,0,0,4,0,0,0,197,0,3,0,0,0,1,0,2,0,2,47,0,0,0,0,6
 24-34,0,0,0,3.28,0,28.73,0,0,3.28,0,0,0.82,0,0.82,0,0,1.64,0,0,3.28,177.3,0.82,0.82,0,0,0,0,0,0,0,0,40.22,0,0,0,0,2.46
 36-46,0,0,0,0.81,0,28.2,0,0,8.06,0,0,0,0,0,0,0,0.81,0.81,0,0,157.11,0,0,0.81,0.81,0,0,0,0,0,0,38.67,0,0,2.42,0,0
 48-58,0,0,0,1.72,0,56.23,0,0,9.18,0,0,0,0,0,0,0,2.87,0.57,0,0,204.85,0,0,0,0,0,0,0,0,0,0,29.26,0,0,5.16,0,0
 60-70,0,0,0,4.91,0,153.12,0.98,0,35.33,0,0,1.96,0,0,0.98,0,0.98,0.98,0.98,0.98,315.07,0,0.98,0,0,0,0,0,0,0,0,39.26,0,0,14.72,0.98,0
 72-82,0,0,0.98,5.89,0.98,257.2,0,1.96,51.05,0.98,0,2.94,0.98,0,0.98,0,17.67,0.98,1.96,1.96,291.55,0.98,0.98,0,0,0.98,0,0,0,0,0,20.61,0,0,22.58,0.98,0
 84-94,0,0,1.06,5.31,1.06,183.73,0,1.06,25.49,4.25,0,2.12,0,3.19,1.06,0,7.43,3.19,0,0,157.18,1.06,0,0,0,1.06,1.06,0,0,0,0,12.74,0,0,27.61,1.06,0
 96-106,0,0,1.09,6.56,0,222.94,0,0,45.9,4.37,0,5.46,0,2.19,0,0,9.84,1.09,0,2.19,156.28,0,1.09,0,0,0,3.28,1.09,0,0,0,9.84,0,2.19,36.06,2.19,0
108-118,0,0,0,9.96,0,163.92,0,0,38.3,0,0,1.53,1.53,2.3,0,0,8.43,0.77,0,0.77,167.75,0,1.53,2.3,0,0,11.49,0,0,0.77,0,10.72,1.53,0,25.28,2.3,0
120,0,0,0,13.72,0,96.03,0,0,31.36,3.92,0,0,5.88,1.96,0,1.96,3.92,5.88,0,0,160.7,0,1.96,0,0,0,21.56,0,0,0,0,5.88,0,0,23.52,0,0
