stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540.3,0,0,0,0,0,0,0,0,0
  5-6,12.26,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,606.83,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,49.95,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,76.23,2.63,0,0,18.4,0,92,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604.22,18.88,0,0,34.62,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,741,0,0,9,0,0,0,1,0,1,1,1,42,0,0,0,0,2,3,0,3,19,0,1,4,0,0,7,5,2,5,3,0,0,1,0,0
 24-34,0.82,0,0,2.46,440.8,1.64,0,3.28,0,42.68,0,1.64,0,0.82,0.82,6.57,20.52,0,15.6,0,0,18.06,7.39,0,4.93,34.48,1.64,13.95,4.1,0,0,8.21,0,17.24,0,7.39,0,0,12.31,0,0
 36-46,0,0,0,0,183.69,0,0,4.03,0.81,53.98,0.81,0,0.81,0,0.81,14.5,11.28,0,12.09,0,0,43.51,4.83,0.81,7.25,22.56,0.81,5.64,1.61,0,0,5.64,0,11.28,0,3.22,0,0,5.64,0,0
 48-58,0,0,0,0,105.01,0,0,7.46,0,53.94,1.72,0.57,0,1.72,0.57,9.18,6.31,0,15.49,0,0,53.94,3.44,11.48,8.61,18.94,0,6.31,7.46,0,0.57,0.57,0,8.03,0,4.59,0,0.57,12.62,0,0.57
 60-70,0,0,0,0,127.6,0.98,0,5.89,0,62.82,2.94,0,1.96,0,1.96,15.7,12.76,0,21.59,0.98,0,84.41,4.91,10.8,11.78,20.61,0.98,3.93,3.93,0,0,1.96,0,14.72,0,2.94,1.96,0.98,10.8,3.93,0
 72-82,0,0,0,0,147.25,0,0,9.82,0,54.97,4.91,2.94,2.94,1.96,3.93,16.69,13.74,0,24.54,0.98,0,189.46,13.74,5.89,13.74,31.41,1.96,8.83,8.83,0,2.94,0.98,0,48.1,0,3.93,6.87,7.85,8.83,8.83,0
 84-94,0,0,0,0,235.77,0,0,12.74,0,99.83,4.25,2.12,5.31,1.06,0,49.92,35.05,1.06,28.68,0,2.12,111.51,2.12,10.62,21.24,18.05,1.06,26.55,5.31,0,0,5.31,0,133.82,0,3.19,45.67,5.31,13.81,3.19,0
 96-106,0,0,0,0,262.28,3.28,2.19,14.21,0,84.15,1.09,5.46,21.86,1.09,1.09,59.01,34.97,0,45.9,1.09,0,142.07,15.3,10.93,17.49,22.95,2.19,45.9,14.21,0,1.09,7.65,0,131.14,0,1.09,110.38,3.28,10.93,10.93,0
108-118,0,0,0,0,241.28,1.53,0,9.19,0,101.87,3.06,4.6,16.09,0,0.77,50.55,32.17,0,20.68,0,0,135.58,11.49,7.66,31.4,29.11,0.77,30.64,13.79,0,0,6.89,0,121.79,0,1.53,104.17,1.53,13.02,8.43,0.77
120,0,0,1.96,0,188.14,0,0,3.92,3.92,80.35,3.92,3.92,7.84,0,0,54.87,19.6,0,21.56,1.96,0,103.87,11.76,9.8,21.56,27.44,0,15.68,17.64,0,3.92,13.72,0,68.59,0,0,39.2,3.92,9.8,7.84,0
