stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,58,0,0,54,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0,4.93,0,0,6.57,4.93,0,0,106.71,0,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,1.61,0,0,0,2.42,0,8.06,0,0,4.83,4.03,0,0,50.76,1.61,0,0,0
 48-58,0,0,0,1.15,0,1.72,1.15,0,0,0,0,0,0,0,0.57,24.67,0,0,8.03,0,0,0,40.17,1.15,0,0,0
 60-70,0,0,0,2.94,0,3.93,1.96,0,0,0,0.98,0,0,0,0,66.74,0,0,4.91,0.98,0,0,22.58,0.98,0,0,0
 72-82,0,0,0,5.89,0,7.85,1.96,0,2.94,0,0,0.98,0,0,0,163.94,0,0.98,6.87,0,1.96,0.98,35.34,0.98,0,0,0.98
 84-94,0,0,0,14.87,0,11.68,0,0,0,1.06,0,0,0,0,1.06,109.39,0,0,6.37,0,0,1.06,71.16,1.06,0,0,0
 96-106,0,0,0,6.56,0,9.84,1.09,1.09,1.09,1.09,0,0,0,0,0,114.75,0,1.09,18.58,0,0,0,48.09,0,0,2.19,1.09
108-118,0,0,0,9.96,0.77,6.13,1.53,0,0,0,0,0,0.77,0,0,121.02,0.77,0,4.6,0,0,0,38.3,0,1.53,0,3.06
120,0,0,0,11.76,0,5.88,0,0,0,0,1.96,0,0,0,0,113.67,0,0,5.88,0,0,0,27.44,1.96,0,0,0
