stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,melanocytes,mesenchyme,neural,otic,periderm,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
 24-34,0.82,0,0.82,0,0,0,0,0,2.46,4.93,0,0,0,1.64,0.82,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,7.25,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,2.87,0,0,0,1.15,0,0,0
 60-70,0,0,1.96,0.98,0.98,0.98,0,0,0,0.98,0,0,0,1.96,1.96,0,0
 72-82,0,1.96,0,0,0,0,0,0,5.89,3.93,0,0,0,0,0,0,0
 84-94,0,1.06,3.19,0,2.12,0,1.06,0,1.06,1.06,0,0,0,0,0,0,0
 96-106,1.09,0,0,0,0,1.09,2.19,1.09,0,1.09,0,1.09,0,0,2.19,0,1.09
108-118,0,0,1.53,0,0,0,0.77,0,0.77,0,0,0.77,0,0.77,1.53,0.77,0
120,0,0,0,0,1.96,1.96,1.96,0,1.96,0,1.96,5.88,0,0,0,1.96,0
