stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,hatching.gland,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,92.25,1568.17,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0
  5-6,134.85,1556.93,0,0,0,0,0,0,0,12.26,6.13,0,0,36.78,0,0,0,0
  7-9,23.66,13.14,28.92,0,0,36.8,0,34.17,0,444.25,13.14,0,205.04,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,9.44,0,0,0,81.82,3.15,0,31.47,0,0,9.44,0,0
 14-21,0,0,0,1,0,0,0,0,1,2,0,0,0,1,1,0,1,2
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0.81,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0
