stage,axial,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,heart,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,2.63,0,0,0,0,0,0,0,23.66,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,15.73,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,38,2,0,0,4,0,0,7,7,13,1,0,1,6,14,0,4,14,0,0,0,0
 24-34,0,0,0,5.75,3.28,0,0.82,0,0,0,1.64,4.93,11.49,0,0,0,4.1,0,0,0.82,4.1,0,0.82,0,0
 36-46,0,0,0,0.81,0.81,0.81,0.81,0,0,0.81,0.81,1.61,7.25,0,0,0,4.83,0,0,0,0.81,0,0,0,0.81
 48-58,0,0,0,0,1.72,0,0.57,0,0,0,1.15,0,4.02,0,0,0,0.57,0,0,0,1.15,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,2.94,0,0.98,0,0.98,0,1.96,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,0,1.09,2.19,0,0,0,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0,0,1.53,0,0.77,0,0,0,0.77,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
