stage,axial,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1,0,4,0,0,0,8,0,0,0,0,1,0,0,0,0,3,0,0,1,243,2,0,0,0,0,1,0,0,9,12,117,0,0,2,0,0
 24-34,0.82,0,3.28,0,10.67,0.82,1.64,0,22.16,0,0,0.82,0,3.28,0,0,0,0,8.21,0,0,8.21,1019.5,0,0,0,0,0,2.46,0,0.82,3.28,13.13,312.75,0,0,0.82,0,0
 36-46,0,0,1.61,0.81,12.09,2.42,0,0,23.36,0,0,0,0,4.03,0.81,0.81,0,0.81,16.11,0.81,0,4.83,1240.73,0.81,3.22,0,0.81,0,3.22,0.81,0,0,0,388.33,0,0,0,0,0
 48-58,0,0,1.72,0.57,38.44,4.59,0.57,0.57,44.76,0.57,0,1.15,0,4.02,0.57,0,0.57,0.57,26.4,0.57,0,5.74,943.91,0,0,1.15,0,0,1.72,0,0,0.57,0,222.64,0,0,0,0,1.15
 60-70,0,0,0.98,0,61.84,4.91,0,0,39.26,0,0.98,0.98,0.98,6.87,0,1.96,0,1.96,41.22,0,0.98,4.91,1231.81,0.98,2.94,4.91,0,0,5.89,0,0,0,0,127.6,0,0.98,0.98,0,0
 72-82,0,0.98,2.94,0.98,109.95,3.93,0,0,58.9,1.96,0,0,0.98,13.74,0,1.96,0,1.96,45.16,0,1.96,5.89,1057.25,0,1.96,6.87,0,0.98,0.98,0,0,0,0,74.61,0.98,0,0.98,1.96,0.98
 84-94,0,0,8.5,3.19,94.52,1.06,1.06,0,40.36,1.06,0,1.06,0,15.93,1.06,0,0,3.19,31.86,1.06,2.12,2.12,534.2,0,1.06,8.5,0,0,4.25,0,1.06,0,0,44.61,3.19,1.06,2.12,1.06,1.06
 96-106,0,0,5.46,1.09,81.96,3.28,0,0,41.53,4.37,0,0,0,26.23,0,2.19,0,6.56,31.69,0,2.19,3.28,446.97,1.09,0,5.46,0,0,5.46,0,0,1.09,0,20.76,2.19,1.09,2.19,1.09,0
108-118,0,0,5.36,0.77,58.98,2.3,0.77,0,29.11,2.3,0,0,0,14.55,1.53,0,0,2.3,18.38,0,0,3.83,513.2,0,1.53,6.89,0,0,2.3,0,0,0.77,0,8.43,0,1.53,0.77,0.77,0
120,0,0,17.64,1.96,48.99,3.92,0,1.96,35.28,0,0,0,3.92,11.76,0,1.96,0,3.92,17.64,0,0,11.76,638.89,0,0,15.68,0,0,0,0,1.96,0,0,9.8,1.96,0,0,0,0
