stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,55.2,13.14,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,31.47,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,31.47,69.23,0,0,15.73,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,92,42,0,1,5,0,0,6,0,1,0,0,0,2,0,14,0,0,15,30,0,6,0,0,1,0,2,55,3,5,0,0,10,0,0
 24-34,0,0,0.82,2.46,18.88,4.1,0,1.64,11.49,0,0,14.78,0,2.46,4.1,0.82,0,3.28,0.82,1.64,0,1.64,22.16,4.1,0,0,0,0,0.82,0,0,83.73,0.82,6.57,0,0,20.52,0,0.82
 36-46,0,0,0,0.81,4.83,2.42,0,2.42,8.86,0,0.81,16.11,0,1.61,2.42,0,0,10.47,0,8.06,0,1.61,20.14,0.81,0,3.22,0,0,0,0,0,47.53,0,3.22,0,0,12.09,0,0.81
 48-58,0,0,0,0,1.15,1.15,0,5.74,6.31,0,0.57,17.21,0,1.72,0.57,0,0,17.21,0,5.74,0,1.15,17.21,0,0,8.03,0,0,0,0,0,27.54,0,2.3,0,0,15.49,0,0.57
 60-70,0,0,6.87,0,0.98,0,0,9.82,4.91,0,0.98,35.33,0,0,7.85,0,0,32.39,0,12.76,0,0.98,10.8,0.98,0,9.82,0,0,0,0,0,33.37,0,0.98,0,0,14.72,0,0
 72-82,0,0,25.52,0,0.98,2.94,4.91,14.72,3.93,2.94,2.94,132.52,0,1.96,5.89,0,0,84.42,0,39.27,0,0.98,34.36,0.98,0,17.67,0,0,0,0,0,36.32,0,0.98,0,0,13.74,0,0.98
 84-94,0,0,25.49,4.25,3.19,3.19,7.43,7.43,13.81,0,2.12,199.66,0,0,8.5,1.06,0,262.32,1.06,24.43,1.06,2.12,31.86,0,0,23.36,0,0,4.25,0,0,103.02,0,0,0,0,19.12,2.12,3.19
 96-106,0,0,20.76,9.84,6.56,4.37,24.04,15.3,6.56,0,7.65,241.52,0,4.37,20.76,2.19,1.09,520.2,0,22.95,1.09,2.19,102.73,0,1.09,39.34,0,1.09,12.02,0,0,78.68,0,2.19,2.19,0,14.21,2.19,2.19
108-118,0,0,16.09,11.49,3.06,5.36,46.72,13.02,13.02,0.77,4.6,237.45,0,0.77,9.96,0.77,0,1086.9,0,26.81,0.77,1.53,85.79,0.77,0,32.94,0,0.77,4.6,0,0,78.89,0,0,0,0.77,11.49,0.77,0.77
120,0,0,11.76,1.96,0,0,13.72,1.96,1.96,0,3.92,135.23,0,0,9.8,0,0,515.42,0,9.8,0,0,47.03,0,0,25.48,0,0,0,0,0,54.87,0,0,0,0,11.76,0,0
