stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,36.78,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,157.35,0,0,6.29,3.15,0,15.73,3.15,0,0,0,0,0
 14-21,0,0,0,608,20,0,9,0,15,0,133,19,0,0,1,0,0,0,0,3,112,5,0,473,140,14,0,0,89,0,5,519,3,207,1900,1032,0,0,1,0,0
 24-34,0,0,0.82,680.49,8.21,0,22.98,0.82,95.22,27.09,156.78,4.1,2.46,3.28,0,1.64,0,0.82,0,9.03,546.69,8.21,3.28,823.32,212.6,4.1,4.1,0,0,1.64,9.85,4.1,0.82,55,328.34,497.44,0,0,7.39,0,2.46
 36-46,0,0,0,347.24,0.81,0,20.14,0,58.01,91.04,82.18,0.81,0,14.5,0,1.61,1.61,0,0,0,858.04,5.64,18.53,572.83,158.72,3.22,4.03,0,0,0,6.45,1.61,0,27.39,1.61,211.89,0,3.22,5.64,0,0
 48-58,0,0,0,366.66,0.57,0,47.63,1.72,64.84,108.45,63.69,0,0,25.25,0.57,0.57,0,0.57,0.57,0.57,1137.28,5.74,52.22,395.35,169.85,0.57,0.57,1.15,0,3.44,4.59,0.57,0,6.31,0.57,126.24,0,9.75,4.02,2.87,4.02
 60-70,0,0.98,0,355.31,0.98,0,58.89,0.98,45.15,105.02,38.28,0,0,23.56,3.93,1.96,0.98,0,1.96,0,1678.4,4.91,95.21,272.86,111.89,0,0.98,1.96,0,12.76,3.93,0,0.98,6.87,0,39.26,0.98,51.04,5.89,31.41,2.94
 72-82,0,0.98,0,493.78,4.91,0,186.52,3.93,49.08,189.46,107,5.89,0,41.23,3.93,1.96,3.93,2.94,0.98,0.98,2508.15,10.8,131.54,347.51,206.15,0,6.87,1.96,0.98,22.58,9.82,0.98,0,2.94,0,41.23,0.98,111.91,11.78,103.07,7.85
 84-94,0,0,0,1028.05,5.31,1.06,247.45,1.06,104.08,121.07,61.6,8.5,0,31.86,4.25,5.31,6.37,1.06,1.06,2.12,1839.45,7.43,135.94,272.94,88.15,3.19,3.19,2.12,0,18.05,11.68,0,2.12,3.19,0,29.74,10.62,104.08,10.62,115.76,7.43
 96-106,0,0,0,1110.33,10.93,2.19,228.4,5.46,97.26,106.01,71.04,19.67,0,61.2,8.74,9.84,5.46,2.19,3.28,2.19,1987.89,14.21,123.49,251.35,228.4,3.28,5.46,1.09,0,38.25,13.11,0,3.28,4.37,0,17.49,5.46,103.82,21.86,133.33,5.46
108-118,0,0.77,0.77,951.33,11.49,1.53,84.26,3.06,142.47,90.38,41.36,41.36,0,26.81,5.36,3.83,9.96,2.3,2.3,0,1973.12,7.66,91.15,263.49,183.07,3.06,3.83,1.53,0,40.6,9.96,0,2.3,4.6,0,16.09,11.49,66.64,16.85,87.32,11.49
120,0,3.92,0,664.37,3.92,3.92,70.55,0,94.07,72.51,19.6,7.84,0,23.52,3.92,0,3.92,1.96,3.92,0,1612.9,7.84,101.91,233.21,148.94,0,5.88,9.8,0,37.24,7.84,0,0,0,0,23.52,3.92,60.75,11.76,117.59,5.88
