stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,0,0,0,0,0,1,1,4,0,0
 24-34,0,0,0.82,0,3.28,0,0,0.82,0,0,0,0,0,0,0,2.46,0,0,0.82,22.16,0,0.82,0,0,0.82,0,0,6.57,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0.81,0.81,0,0,0,0.81,3.22,0,0,0,49.15,0,1.61,0,0,0.81,0,0,9.67,0,0
 48-58,0,0,1.15,0,6.89,0,0,3.44,0,0,0,0,0.57,0,0,2.3,0,0,0.57,56.23,0,0.57,0,0,0.57,0,0,8.03,0,0
 60-70,0,0,0,0,16.69,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,89.32,0,0.98,0,0,0.98,0,0,4.91,0,0
 72-82,0,0.98,0,0,20.61,0,1.96,12.76,0,0,0,0.98,0.98,0,0,4.91,0,0,0.98,214.98,0,0.98,0.98,0.98,0,0,0,4.91,0,0
 84-94,0,0,1.06,1.06,19.12,0,0,2.12,0,0,0,0,0,0,0,6.37,0,0,0,100.89,0,0,0,0,1.06,0,0,5.31,0,1.06
 96-106,0,0,6.56,3.28,17.49,0,1.09,0,0,0,0,1.09,1.09,1.09,0,6.56,0,0,1.09,113.66,1.09,1.09,0,0,4.37,0,0,4.37,0,1.09
108-118,0,0.77,1.53,1.53,13.79,0.77,0,5.36,0.77,0,0,0,0,0,0,3.83,0.77,0.77,0,125.62,0,4.6,0.77,0,0,0,0,3.06,0.77,0
120,0,0,0,1.96,19.6,1.96,0,1.96,1.96,0,0,3.92,0,0,0,1.96,0,0,1.96,186.18,0,1.96,0,0,1.96,0,0,1.96,0,0
