stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,hatching.gland,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,250.38,1713.13,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0
  5-6,226.8,3573.58,18.39,0,0,0,0,447.46,24.52,263.57,36.78,0,0,0,0,0
  7-9,21.03,191.9,186.64,0,28.92,0,21.03,3130.8,320.7,5396.75,5.26,10.51,0,7.89,0,0
 10-12,0,138.47,166.79,3.15,9.44,0,9.44,1790.63,72.38,2678.07,0,6.29,0,280.08,3.15,3.15
 14-21,0,0,0,1,0,1,0,4,5,22,0,0,5,0,1,5
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,1.64
 36-46,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,1.15
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,1.53,0,0,0,0,0,0,0,0
