stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,380.04,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,10.51,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,152.47,10.51,0,0,63.09,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,12.59,0,0,0,15.73,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,368.2,9.44,0,0,75.53,0,0,3.15,0,0,0,3.15,6.29,0,0,0,0,0
 14-21,0,0,9,473,5,0,56,0,0,0,4,3,0,0,0,3,0,1,0,3,72,0,0,29,247,26,0,9,9,0,6,0,59,12,51,72,75,0,0,2,0,1
 24-34,0,0,5.75,325.88,3.28,0,77.98,38.58,8.21,0.82,6.57,5.75,0,5.75,0,9.03,0,5.75,1.64,11.49,243.79,2.46,0,86.19,344.76,29.55,2.46,5.75,0,0.82,44.33,0,2.46,15.6,106.71,25.45,49.25,0,0,11.49,0,10.67
 36-46,0,0,1.61,145.83,0.81,0,53.98,53.98,12.89,7.25,21.75,4.83,0,8.06,0,3.22,2.42,5.64,4.83,12.09,273.93,1.61,6.45,87.01,189.33,8.86,3.22,4.03,0,0,23.36,0.81,0,5.64,89.43,4.03,32.23,0,0,8.06,0,6.45
 48-58,0,0,1.15,84.92,0,0,54.51,37.3,16.64,17.21,18.36,6.31,0,2.3,0,2.3,2.3,1.72,3.44,5.74,279.44,1.15,11.48,57.38,108.45,6.89,0,5.74,0,0,18.36,0,0,3.44,81.48,0,20.66,0,1.15,2.87,0,7.46
 60-70,0.98,0,0,64.78,0,0,49.08,17.67,18.65,15.7,20.61,1.96,0,0.98,0,3.93,0,1.96,3.93,2.94,210.05,2.94,8.83,28.46,110.91,1.96,0.98,0.98,0,0.98,18.65,0,0,4.91,36.32,0,16.69,0,2.94,3.93,1.96,0.98
 72-82,0,0,0,69.7,2.94,0,46.14,13.74,4.91,26.5,24.54,8.83,0,1.96,0,3.93,0.98,2.94,1.96,0.98,276.83,0,6.87,51.05,110.93,0.98,0.98,6.87,0,2.94,10.8,0,0,0.98,19.63,0,9.82,0.98,3.93,5.89,3.93,2.94
 84-94,0,0,0,134.88,4.25,2.12,60.54,23.36,25.49,21.24,23.36,27.61,0,5.31,1.06,12.74,7.43,3.19,5.31,3.19,231.52,5.31,11.68,49.92,91.34,4.25,3.19,10.62,0,1.06,42.48,0,0,14.87,43.54,0,2.12,4.25,9.56,9.56,10.62,5.31
 96-106,0,0,0,83.06,1.09,0,37.16,13.11,8.74,19.67,31.69,8.74,0,2.19,1.09,10.93,1.09,5.46,3.28,0,198.9,0,4.37,40.44,65.57,4.37,2.19,5.46,0,1.09,18.58,0,0,4.37,33.88,0,2.19,0,8.74,4.37,12.02,4.37
108-118,0,0,0,111.06,0.77,0.77,43.66,13.02,27.57,18.38,30.64,6.13,0,3.83,0,10.72,2.3,4.6,3.83,1.53,203.75,0.77,3.83,45.19,99.58,4.6,0.77,13.02,0,2.3,19.92,0.77,0,4.6,30.64,0,3.06,0,1.53,4.6,6.13,1.53
120,0,0,0,78.39,0,0,27.44,13.72,11.76,11.76,23.52,5.88,0,1.96,3.92,3.92,1.96,3.92,0,0,90.15,1.96,1.96,37.24,84.27,3.92,0,3.92,0,0,17.64,0,0,3.92,7.84,0,3.92,0,0,7.84,3.92,3.92
