stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,11,2,0,0,0,0,0,1,0,0,3,6,0,0,0,0,16
 24-34,0,0,0,0,0,0,7.39,0,0,0,0.82,0,0,0,4.93,0,0,96.04,2.46,0,0,1.64,35.3,1.64,5.75,3.28,0,0,0.82,0,0,0,0,8.21,0,0,0.82,0,96.04
 36-46,0,0,0,3.22,0,0,8.06,0.81,0,0,1.61,0,0.81,0,5.64,0,0,86.21,5.64,0,0,0.81,53.98,1.61,5.64,0.81,0,0,0.81,0.81,0,0,0,3.22,0,0,0,0,66.87
 48-58,0,0,0,0.57,0.57,0,17.79,0.57,0,0.57,5.74,0.57,0,0,19.51,0.57,0.57,63.69,12.05,0,0.57,2.3,58.53,0,8.03,1.72,0,0,1.15,0,0,0.57,0,8.61,0,0,0,0,75.74
 60-70,0,0,0,0,0.98,0,35.33,0,0,0,19.63,0,0,1.96,47.11,0,0,39.26,40.24,0,0,0,124.65,0.98,9.82,5.89,0,0.98,0,0,0,0,0,31.41,0,0,0,0,53.98
 72-82,0,0,0,3.93,0,0,96.2,0.98,0,0.98,54.97,0.98,0,0,39.27,1.96,0,43.19,56.94,0,0,1.96,230.69,0,20.61,2.94,0,0,0,0,0,0,0,30.43,0.98,0,0.98,0.98,51.05
 84-94,0,0,0,5.31,2.12,0,64.78,1.06,0,0,39.3,0,0,0,45.67,1.06,1.06,67.97,32.92,0,1.06,0,123.2,0,13.81,5.31,0,1.06,1.06,0,1.06,0,0,13.81,1.06,1.06,0,1.06,36.11
 96-106,0,0,0,5.46,1.09,0,85.24,1.09,1.09,1.09,33.88,0,0,3.28,29.51,1.09,1.09,55.74,43.71,2.19,0,1.09,172.67,0,13.11,3.28,0,0,2.19,0,0,0,0,9.84,0,1.09,0,0,41.53
108-118,0,0,0,3.83,3.06,0.77,83.49,0,0,0,39.06,0,0,0,52.09,3.06,0,77.36,29.87,0,0,2.3,201.45,0,15.32,1.53,0,0,2.3,0,0,0,0,7.66,0,0.77,1.53,2.3,58.21
120,0,0,0,9.8,0,0,74.47,0,0,0,41.16,0,0,0,29.4,0,0,29.4,35.28,0,0,0,227.34,0,9.8,5.88,0,0,3.92,0,0,0,0,3.92,0,0,0,0,27.44
