stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,mesenchyme,mural.cell,neural,periderm,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0.82,3.28,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,4.02,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,2.94,1.96,0,0,0.98,0,0,0.98,3.93,0.98,0,2.94,0,1.96,2.94,0,0,0
 72-82,1.96,0,10.8,0.98,0.98,0,4.91,0,0,0,8.83,0,0,0.98,0,2.94,0,0,3.93,0
 84-94,1.06,1.06,9.56,0,1.06,0,1.06,0,0,0,14.87,0,1.06,0,0,2.12,1.06,1.06,1.06,1.06
 96-106,0,1.09,14.21,2.19,0,1.09,2.19,0,0,0,15.3,1.09,1.09,3.28,0,2.19,0,1.09,4.37,1.09
108-118,0,0.77,5.36,1.53,0.77,0,1.53,0,0,0,16.09,0,3.06,3.83,0,1.53,0,0,4.6,0.77
120,0,0,5.88,0,0,0,5.88,1.96,0,1.96,17.64,0,0,1.96,0,1.96,1.96,0,3.92,0
