stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,803.85,15615.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830.21,0,0,0,0,0,0,0,0,0,0
  5-6,876.54,8814.42,0,18.39,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,171.63,18.39,0,0,67.43,232.93,0,0,0,0,0,0,0,0,0,0
  7-9,70.98,26.29,0,42.06,0,0,73.6,0,0,0,0,0,105.15,0,0,0,0,0,0,1088.29,39.43,0,0,381.16,7.89,57.83,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,0,15.73,0,0,0,0,0,34.62,0,0,0,0,0,0,163.64,12.59,0,0,47.2,0,15.73,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,2,0,0,0,7,0,0,0,0,0,3,0,2,100,2,10,0,0,0,2,2,2,13,11,59,0,0,0,0
 24-34,0,0,0,0,0,0.82,5.75,0,0,0,2.46,0,0,0,0,0,0.82,0,1.64,121.49,0,2.46,2.46,0,1.64,0,0,0,3.28,0,54.18,0,0,0.82,0
 36-46,0,0,0,0,0,0,8.86,0,0,0,0,0,0,0,0,0,0.81,0,0.81,81.37,0,0,2.42,0,0,0,0,0.81,1.61,0,36.26,0,0,1.61,0
 48-58,0,0,0,0,0,0,11.48,0,0,0,6.31,0,0,0,0,0,1.15,0,0,42.46,0,1.15,2.3,0,0,0,0,0,0,0,20.08,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,109.93,0,0,0,3.93,0,0,0,0,0,0,0,0,28.46,0,0,0,0,0,0,0,0,0,0,13.74,0,0,1.96,0
 72-82,0,0,0,0,1.96,0.98,536.97,0,0,0,7.85,0,0,0,0.98,0.98,4.91,0,0.98,39.27,0,0.98,0,0,0,0,0,0,0,0,13.74,0,0,0,0.98
 84-94,0,0,1.06,0,2.12,0,546.95,0,0,0,5.31,0,0,0,1.06,1.06,1.06,1.06,0,14.87,0,0,0,0,3.19,0,0,1.06,0,0,4.25,0,0,0,0
 96-106,0,0,0,0,2.19,1.09,533.31,1.09,1.09,1.09,7.65,0,0,1.09,0,0,3.28,0,0,12.02,1.09,0,2.19,0,2.19,0,0,0,1.09,0,1.09,2.19,1.09,2.19,0
108-118,0.77,0,0,0,1.53,0,400.6,0,0,0.77,3.06,1.53,0,0.77,0,0,2.3,0,1.53,24.51,0.77,0,0.77,0,1.53,0,0,0,0,0,0.77,1.53,0,0,0
120,0,0,0,0,5.88,1.96,476.23,0,0,0,1.96,0,0,1.96,0,0,3.92,1.96,3.92,29.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
