stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387.08,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1159,0,0,2,6,0,0,0,1,0,6,0,0,0,4,4,0,9,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,570.49,0,0,3.28,42.68,0,0.82,0,0,0,0.82,0,0,0,3.28,4.93,2.46,22.16,0.82,0.82,0,0,0.82,0,0,2.46,0,0,0.82,0
 36-46,0,0,233.64,0,0,0.81,43.51,0.81,0.81,0,0,0,0,0,0,0,3.22,2.42,0,18.53,2.42,0,0,0,1.61,0,0,1.61,0,0,0.81,0
 48-58,0,0,206,0,0,3.44,63.69,0,0,0,0,0,0.57,0,0,0.57,1.15,0.57,0,11.48,0.57,0,0,0,0,0,0,4.02,0,0,0,0
 60-70,0,0,202.19,0,0,6.87,58.89,0,1.96,0,0,0,0.98,0.98,0,0,0.98,1.96,0,4.91,0.98,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,242.47,0,0,2.94,53.99,0,0,0,0,0,0.98,0,0,0,1.96,2.94,0,10.8,1.96,0,0,0,0.98,0,0,0,0.98,0,0,0
 84-94,1.06,0,385.52,0,0,7.43,76.47,0,1.06,2.12,0,0,2.12,0,0,0,0,6.37,1.06,4.25,1.06,0,0,1.06,0,0,0,0,9.56,0,1.06,0
 96-106,0,0,478.67,0,1.09,3.28,84.15,0,2.19,6.56,0,0,5.46,0,2.19,0,3.28,5.46,0,13.11,5.46,1.09,0,0,0,0,0,0,6.56,0,1.09,0
108-118,0,0,391.41,0,0,3.83,109.53,0,2.3,9.96,0,1.53,1.53,0,0.77,0,0.77,1.53,0,7.66,6.89,0,0,0.77,0.77,1.53,0,0,7.66,0.77,0,0.77
120,0,0,246.93,1.96,0,0,64.67,0,1.96,0,0,0,7.84,0,0,0,0,1.96,1.96,11.76,0,0,0,0,0,1.96,0,0,5.88,0,0,0
