stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,6.29,0,0,15.73,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,7,1,10,0,0,0,3,1,0,1,0,1,1,0,0,6,0,0,8,128,69,0,1,2,0,6,0,1,0,15,10,42,0,0,0,0,0
 24-34,0,0,0,2.46,5.75,0,48.43,0,4.1,1.64,5.75,0,0,2.46,0,4.1,0,0.82,0,18.06,0,0,13.95,204.39,20.52,0,1.64,0,0,41.86,0,0,0.82,25.45,4.1,43.51,0,0,3.28,0,0
 36-46,0,0,0,0.81,0,0,57.2,0,2.42,2.42,14.5,1.61,0,7.25,0,1.61,0,0,0,33.03,0,1.61,9.67,119.24,16.11,4.03,0.81,0.81,0.81,28.2,0.81,0,0,14.5,0,29.81,0,0.81,2.42,0,0
 48-58,0,0,0.57,0,1.72,0,40.74,0.57,0.57,2.3,12.05,0.57,0,1.72,0,0,0,0,0,71.15,0,2.87,6.31,52.22,12.62,0.57,0.57,0,2.3,21.23,0,0,0,12.62,0,17.21,0,0.57,0,0,1.15
 60-70,0,0,0.98,0,2.94,0,40.24,0.98,0,0,12.76,3.93,0,0.98,0,0,0,0,0.98,112.88,0,11.78,4.91,50.06,8.83,1.96,1.96,0,3.93,29.45,0,0,0,8.83,0,8.83,0,7.85,0.98,2.94,0
 72-82,0,0,2.94,0,4.91,2.94,23.56,0,0,3.93,20.61,7.85,0,4.91,0.98,0.98,0,0,0.98,156.08,0,6.87,6.87,71.66,6.87,0,2.94,0,5.89,25.52,0,0,0.98,3.93,0,1.96,0.98,10.8,3.93,7.85,0
 84-94,1.06,0,0,0,7.43,0,46.73,1.06,1.06,5.31,14.87,13.81,0,5.31,0,1.06,0,0,1.06,109.39,0,5.31,7.43,35.05,15.93,2.12,3.19,0,3.19,89.21,0,0,2.12,2.12,0,7.43,0,10.62,0,9.56,0
 96-106,0,0,0,1.09,7.65,1.09,33.88,2.19,0,2.19,14.21,7.65,0,3.28,0,1.09,0,1.09,0,108.19,0,2.19,2.19,42.62,9.84,0,1.09,0,6.56,72.13,0,0,1.09,0,0,1.09,0,7.65,1.09,10.93,1.09
108-118,0,0,1.53,0.77,6.89,1.53,47.49,2.3,2.3,5.36,12.26,5.36,0,3.83,0.77,0.77,0,0.77,5.36,84.26,0.77,3.83,3.83,51.32,9.19,0,0.77,0,5.36,77.36,0,0,0,4.6,0,0.77,0.77,9.96,2.3,5.36,0.77
120,0,0,0,0,19.6,5.88,31.36,1.96,1.96,1.96,3.92,9.8,0,1.96,0,1.96,0,0,1.96,52.91,0,0,3.92,43.12,13.72,1.96,1.96,0,9.8,68.59,0,0,0,0,0,0,0,5.88,1.96,7.84,0
