stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,immune,lateral_line,liver,mesenchyme,neural,paraxial_mesoderm,periderm,somites,spinal_cord,taste,xanthophores
  3-4,26.36,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,5.26,2.63,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,15.73,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,3.28,0,0,0,6.57,0,0.82
 36-46,0,0,0,0,0.81,0,0.81,0,0,0,0,0,6.45,0,0.81,0,3.22,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,1.15,4.02,0,0,0,1.72,0,0
 60-70,0,0,0,0,1.96,0,3.93,0,0,0,0,0,3.93,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,2.12,0,0,1.06,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,1.09,1.09,0,0,0,0,1.09,1.09,1.09,0,0,0,0,0,0
108-118,0,0,0,1.53,0.77,0,1.53,0.77,0,0,0,1.53,0,0,0.77,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0
