stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,4,1,3,0,0,0,0,0,0,0,0,0,0,3,0,0,21,1,0,0,0,0,1,3,17,0,0
 24-34,0,0,0,3.28,0,6.57,0.82,0,3.28,0.82,0,0,0,0.82,0,0.82,5.75,0,0.82,37.76,0,0,0.82,0,1.64,0,0,21.34,0,0
 36-46,0,0,0,3.22,0,8.86,0.81,0,2.42,0,0,0,0,0,0,0,6.45,0,0.81,29.81,0.81,0,0,0,1.61,0,0,12.09,0,0
 48-58,0,0,0,0.57,0,13.2,1.72,0.57,3.44,0,0,0.57,0,0,0,0,5.74,0,0.57,28.69,0,1.15,0,0,1.15,0,0,7.46,0.57,0
 60-70,0,0,0,0.98,0,22.58,0.98,0,1.96,0.98,0,0,0,0,0,0,2.94,0,0,24.54,0,0.98,0.98,0,0.98,0,0,1.96,0.98,0
 72-82,0,0,0,0,0,11.78,0,0,2.94,0,0.98,0,0,0,0,0,6.87,0.98,0,19.63,0,0,0,0,0,0,0,4.91,1.96,0
 84-94,0,0,0,0,1.06,8.5,2.12,0,2.12,0,0,0,1.06,3.19,1.06,0,3.19,0,1.06,12.74,0,0,0,0,0,0,0,2.12,0,0
 96-106,0,0,0,3.28,1.09,3.28,0,0,5.46,0,0,0,0,0,0,0,7.65,0,1.09,8.74,0,1.09,0,0,5.46,0,0,1.09,1.09,0
108-118,0,0,0,2.3,0.77,5.36,2.3,0,2.3,0.77,0,0.77,0,0,0,0,0.77,0,0.77,9.96,0.77,0,0,0,0.77,0,0,0,1.53,0
120,0,0,0,1.96,0,7.84,0,0,0,0,0,0,0,0,0,0,0,1.96,0,5.88,0,0,0,0,0,0,0,3.92,0,1.96
