stage,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,spinal.cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,2,0,3,0,0,1,1,0,1,10,0,0,2,0,0
 24-34,0,0,4.93,0,0,0,1.64,0,0,13.13,0,0,1.64,0,0
 36-46,0,0,7.25,0,0,0,0.81,0.81,0.81,7.25,0,0,0.81,0,0
 48-58,0,0,6.89,0,0.57,0,0.57,0,0,2.3,0,0,1.15,0,0
 60-70,0,0,5.89,1.96,1.96,0,0,0,0,0,0,0,0.98,0,0.98
 72-82,0,0,6.87,0,6.87,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,4.25,0,3.19,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,1.09,2.19,0,5.46,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,2.3,0,0,0,0,1.53,0.77,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
