stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,31.47,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,26,4,0,8,0,0,0,7,0,0,1,0,0,0,0,14,0,0,8,104,4,0,4,7,0,2,0,20,1,13,45,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,2.46,0,0.82,0.82,4.1,1.64,0,0,0,1.64,0,0.82,11.49,2.46,0,6.57,66.49,0.82,0.82,1.64,0,0,13.95,0,0.82,0,0.82,22.16,0,0,1.64,0,0
 36-46,0,0,0,0.81,0.81,0,7.25,0,0,2.42,4.83,0.81,0,0.81,0,0.81,0.81,0.81,24.17,0.81,0,5.64,40.28,0,0,0.81,0,0,5.64,0,0,1.61,0,9.67,0,0,3.22,0,0
 48-58,0,0,0,1.15,0,0,14.92,0.57,1.15,1.72,10.33,0,0,0.57,1.15,0,0,0.57,22.38,2.3,0,6.31,35.58,0.57,0,0.57,0,0.57,7.46,0,0,0,0,8.03,0,0,4.02,0,0.57
 60-70,0,0,0,4.91,0,0,14.72,0,0.98,0,5.89,0,0.98,0.98,1.96,0,0,0,30.43,1.96,0,1.96,17.67,1.96,1.96,0.98,0,0.98,6.87,0,0,0,0,3.93,0,0,0.98,0,0
 72-82,0,0,0,1.96,0,0,20.61,0.98,1.96,6.87,27.49,0.98,0,2.94,0.98,0,0,0,88.35,7.85,0,14.72,37.3,0.98,1.96,3.93,0,0.98,15.71,0.98,0,0,0,6.87,0,0.98,9.82,0.98,0.98
 84-94,0,0,0,3.19,4.25,0,12.74,3.19,0,3.19,8.5,0,0,1.06,0,1.06,0,0,58.41,2.12,1.06,7.43,20.18,0,1.06,0,0,0,21.24,0,0,0,0,7.43,0,2.12,7.43,3.19,0
 96-106,1.09,0,0,5.46,1.09,0,7.65,0,0,7.65,15.3,0,0,1.09,1.09,0,0,0,71.04,3.28,4.37,2.19,22.95,0,2.19,4.37,0,0,19.67,0,0,0,0,3.28,0,0,4.37,2.19,0
108-118,0,0,0.77,5.36,2.3,1.53,8.43,0,3.06,2.3,9.96,0.77,0,0,3.06,1.53,0.77,0.77,34.47,2.3,1.53,5.36,18.38,1.53,0,3.06,0,2.3,14.55,0,0,0,0,3.06,0,0.77,3.06,0.77,1.53
120,0,0,0,3.92,1.96,0,7.84,0,0,3.92,3.92,0,0,0,3.92,0,1.96,1.96,19.6,0,3.92,0,17.64,1.96,3.92,3.92,0,0,21.56,0,0,0,0,0,1.96,1.96,5.88,3.92,0
