stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,18.88,0,91.26,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,44.06,0,3.15,3.15,3.15,116.44,0,0,0,0,0,0,0
 14-21,0,1,5,25,336,0,0,0,2,17,0,12,0,0,0,0,0,0,267,0,0,141,127,3,0,0,4,0,1,1,10,0,4,12,18,0,108,0,0
 24-34,0,0,2.46,8.21,45.97,7.39,0.82,3.28,1.64,1.64,0,36.94,0,0.82,0,0,2.46,0,256.11,0.82,4.1,47.61,142.01,0,0,2.46,0,3.28,3.28,0,0,2.46,6.57,9.85,17.24,0,451.47,0,0
 36-46,0,0,0,4.03,11.28,5.64,0,8.86,1.61,0,0,34.64,0,0,0,0,0,0,149.85,0,12.09,38.67,55.59,0,0.81,0.81,0,1.61,0.81,0.81,0,0.81,4.83,0,12.09,2.42,263.45,0.81,0
 48-58,0,0,0,0.57,4.02,9.18,0,3.44,1.72,0,0,40.17,0,0,0,3.44,0,0.57,182.47,0,23.53,26.4,35,0,0,0,0,3.44,0.57,0,0,0,2.87,0,1.72,1.15,211.16,0.57,0.57
 60-70,0.98,0,0,0,0,9.82,0.98,6.87,3.93,0,0,29.45,1.96,0,0.98,1.96,0,0,153.12,0,26.5,21.59,26.5,0,0,0,0,3.93,0.98,0,0,0,0,0,3.93,2.94,170.78,0,0
 72-82,0,0,0,3.93,0,12.76,0,11.78,2.94,0.98,0,33.38,0,0,0,5.89,0,0,204.19,0,46.14,31.41,32.39,0,0,0.98,0,8.83,0,0,0,0,0,0,2.94,3.93,299.41,7.85,0.98
 84-94,0,0,0,4.25,0,15.93,0,9.56,0,1.06,0,37.17,0,0,1.06,2.12,0,0,130.63,0,36.11,18.05,13.81,0,0,2.12,0,4.25,0,0,0,5.31,0,0,1.06,5.31,274.01,4.25,0
 96-106,0,0,0,3.28,2.19,22.95,1.09,8.74,0,1.09,0,63.39,2.19,0,1.09,3.28,0,0,170.48,0,40.44,17.49,27.32,0,0,0,0,6.56,1.09,0,0,3.28,0,0,0,3.28,308.18,10.93,0
108-118,0,0,0.77,0.77,0.77,12.26,1.53,4.6,4.6,0,0,20.68,0.77,0.77,0,3.06,0.77,0,126.38,0,33.7,12.26,17.62,0,0.77,0,0,2.3,0.77,0,0,3.83,0,0,0,0.77,257.36,3.83,0
120,0,0,0,3.92,0,9.8,3.92,9.8,1.96,3.92,0,39.2,3.92,0,0,0,0,0,117.59,0,29.4,11.76,17.64,0,0,0,0,9.8,3.92,0,0,0,0,0,0,7.84,299.85,5.88,0
