stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,195,42,2,0,0,0,0
 24-34,0,0,6.57,0,0,15.6,224.91,0,0,1.64,0,0,0,0,1.64,0,0,0,0,13.95,0,0.82,33.66,138.72,1.64,1.64,0,0,4.1,0,225.74,119.84,27.91,0,7.39,0,0.82
 36-46,0,0,0.81,0,0,27.39,464.07,0.81,0,0.81,0,0,0,0.81,0,0,0.81,0,0,12.89,0.81,0,24.17,138.58,2.42,0,0.81,0.81,3.22,0,199,21.75,30.62,0,3.22,0,2.42
 48-58,0,0,4.02,0,0,52.79,448.72,0.57,0,16.64,0,0.57,0,0,0,0,0,0.57,0.57,24.67,0,0.57,29.84,149.76,0,0.57,1.15,0,5.16,0,161.81,0,33.28,0.57,4.02,0,7.46
 60-70,0,0,0,0.98,0,35.33,344.51,0,0.98,0.98,0.98,0,0,0.98,0,0,0,0,0.98,20.61,0.98,0.98,44.17,73.61,0,0,0,1.96,1.96,0,102.08,0,6.87,0,1.96,0,0.98
 72-82,0,0,0.98,3.93,0,35.34,247.38,0,0,5.89,0,0,0,0,0,0.98,1.96,0.98,0,20.61,0,1.96,36.32,70.68,0,2.94,1.96,0.98,2.94,0,56.94,0,4.91,0,4.91,0.98,2.94
 84-94,0,0,13.81,4.25,0,40.36,404.64,1.06,0,11.68,2.12,1.06,0,1.06,1.06,1.06,0,1.06,0,21.24,2.12,1.06,35.05,54.16,0,0,1.06,0,9.56,0,105.14,0,10.62,0,2.12,0,1.06
 96-106,0,0,8.74,13.11,0,43.71,530.03,2.19,1.09,14.21,1.09,0,1.09,3.28,2.19,0,2.19,2.19,2.19,26.23,0,3.28,43.71,55.74,1.09,1.09,2.19,1.09,9.84,0,101.63,0,2.19,2.19,1.09,1.09,7.65
108-118,0,0.77,3.83,0.77,0,16.09,360.77,0,0.77,3.83,0.77,0,0,0,0.77,1.53,0,2.3,0.77,20.68,0,0,52.09,37.53,0,0,1.53,0,6.89,0,91.15,0,0.77,0,2.3,0,0
120,0,0,5.88,0,1.96,13.72,182.26,0,0,0,0,0,0,7.84,1.96,1.96,0,1.96,0,9.8,0,0,50.95,35.28,0,0,0,0,9.8,1.96,33.32,0,0,0,1.96,0,0
