stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,131.78,2398.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0
  5-6,61.3,612.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,12.26,0,0,0,0,0,0,0
  7-9,7.89,0,0,10.51,0,0,10.51,0,0,0,0,0,0,0,0,0,39.43,5.26,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,9.44,0,0,0,0,0,0,0,0,0,50.35,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,22,0,1,0,0,0,2,3,12,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,0.82,0,0,0,0,0,0,0,1.64,0,83.73,0,2.46,0,0,0.82,0,0,28.73,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0,0.81,0,200.61,0,0,0,0,0,0,0,29,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,6.89,0,0,0,2.87,0,0,0,0.57,0,260.51,0,0,0,0,0.57,0,0,41.31,0,0.57,0,0.57
 60-70,0,0,0,0,0.98,0,8.83,0,0.98,0,3.93,0,0.98,0,2.94,0,464.26,0.98,0,0,0,0,0,0,27.48,0.98,0,0,0
 72-82,0,0,0,0,0,1.96,41.23,0,0,0,7.85,0.98,0,0,8.83,0.98,468.25,0,0,0.98,0,1.96,0,0,19.63,0,0,0.98,0
 84-94,0,0,1.06,0,3.19,0,30.8,1.06,3.19,0,6.37,0,0,0,2.12,0,301.62,0,0,0,0,2.12,0,0,14.87,0,1.06,0,0
 96-106,0,0,0,0,3.28,0,15.3,0,0,1.09,2.19,1.09,0,1.09,3.28,1.09,250.26,0,0,1.09,0,1.09,0,0,6.56,0,0,1.09,1.09
108-118,0,0,0,0,3.83,0,16.09,0,0,0,8.43,0.77,0.77,0,1.53,2.3,285.7,0.77,0.77,0,0,1.53,0,0,3.83,0.77,1.53,0,0
120,0,0,0,0,3.92,0,25.48,0,0,0,0,0,0,0,1.96,0,266.53,0,0,1.96,0,0,0,0,1.96,0,0,0,0
