stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,131.44,7.89,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,3.15,0,25.18,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,135.32,12.59,0,0,50.35,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,5,3,0,5,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,3,31,1,0,0,0,0,2,6,1,6,20,0,0,0,0,0
 24-34,0,0,0,0.82,8.21,0,0,15.6,0,0,3.28,0,0,0,0.82,0,0,0.82,0,0,17.24,0,0.82,3.28,101.79,0,1.64,0.82,0,0,3.28,0,0,0.82,24.63,0,0,4.1,0,0.82
 36-46,0,0,0,0,1.61,0,0,18.53,0,0,4.03,0,0,0,0,0,0,0.81,0,0,15.31,0,0,3.22,66.87,0,0,0.81,0,0,4.83,0,0.81,0,24.17,0,0,0.81,0,0.81
 48-58,0,0,0,0,2.3,0,0,24.1,0.57,0,8.03,0.57,0,0,0.57,0,0,0,0,0.57,16.07,0,1.15,2.87,56.81,0,1.15,0.57,0,0,0.57,0,0,0,18.36,0,0,2.3,0,0
 60-70,0,0,0,0,0,0,0,27.48,0,0,5.89,0,0,0,0,1.96,0,0,0,0,14.72,0,0.98,1.96,25.52,0,0,0,0,0,2.94,0,0,0,5.89,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0,28.47,0,0.98,11.78,0.98,0,0.98,0,0,0,0.98,0,0,19.63,0,0,1.96,39.27,0,0.98,0.98,0,0,0,0,0.98,0,2.94,0,0.98,1.96,0.98,0
 84-94,0,0,0,0,4.25,1.06,0,20.18,0,0,5.31,0,0,0,1.06,2.12,2.12,0,0,0,28.68,0,0,2.12,28.68,1.06,0,0,0,0,8.5,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,1.09,0,4.37,0,0,10.93,1.09,0,10.93,1.09,0,1.09,1.09,2.19,0,0,0,0,15.3,1.09,0,2.19,19.67,0,1.09,0,0,0,7.65,0,0,0,1.09,0,0,2.19,1.09,0
108-118,0,0,0.77,0,1.53,0.77,0.77,13.02,1.53,0.77,6.89,0,0,0,3.06,0,0.77,2.3,0.77,0,10.72,0,0,2.3,20.68,0,0.77,0.77,0,0.77,2.3,0,2.3,0,0,0,0.77,3.06,0,0
120,0,0,0,0,7.84,0,0,5.88,0,1.96,3.92,1.96,0,0,0,0,0,0,0,0,7.84,0,0,1.96,23.52,0,0,0,0,0,5.88,0,0,0,1.96,0,0,1.96,1.96,0
