stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,6.29,0,0,37.76,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,3,17,8,0,9,0,0,4,0,0,0,0,0,0,0,0,20,0,0,5,174,4,3,2,1,0,12,26,2,1,20,61,0,0,3,0,0
 24-34,0,0,0.82,0.82,9.85,0,0,18.06,0.82,0,5.75,0.82,0,0,1.64,0,1.64,0,0,17.24,0,0,8.21,297.97,1.64,5.75,0.82,0,0,55,0,0,0,0.82,66.49,0,0,3.28,0,0.82
 36-46,0,0,0,0,1.61,0,0,41.89,0,0,8.86,0,0,0,0,0,0.81,0,0,17.72,0.81,2.42,5.64,302.13,0,0.81,3.22,0,0,81.37,0,0,0,0,78.15,0,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,0,77.46,2.3,0.57,14.92,0,0,0,0,0.57,0,0.57,0.57,32.13,0.57,0.57,5.16,288.05,0,1.15,1.15,0,0,104.43,0,0,0,0,57.38,0,0,2.3,0,0.57
 60-70,0,0,0,0,5.89,0,0,122.69,2.94,0,25.52,0,0,0.98,0,0,0.98,0.98,0,60.85,0,0.98,2.94,425.98,0.98,0.98,0.98,0,0.98,262.07,0,0,0,0,76.56,0.98,0.98,0,0,0
 72-82,0,0,0,0,13.74,0.98,0,97.18,2.94,0,24.54,0.98,0,0,4.91,0.98,0.98,0,0,48.1,3.93,0.98,8.83,246.4,0,0.98,1.96,0,1.96,273.88,0,0.98,0,0,21.6,0.98,0,1.96,3.93,0
 84-94,0,0,0,0,21.24,1.06,0,61.6,9.56,5.31,16.99,0,1.06,0,6.37,0,0,0,0,30.8,1.06,2.12,6.37,130.63,1.06,2.12,4.25,0,0,480.04,0,0,1.06,0,6.37,0,1.06,2.12,1.06,0
 96-106,0,0,0,0,43.71,1.09,0,38.25,7.65,2.19,22.95,2.19,1.09,3.28,8.74,0,3.28,1.09,0,32.79,6.56,2.19,4.37,92.89,0,2.19,7.65,0,1.09,652.43,0,0,0,0,6.56,1.09,1.09,2.19,1.09,0
108-118,0,0,0,0.77,43.66,0.77,0.77,43.66,17.62,0.77,23.74,3.06,0,0,6.13,3.83,0.77,0.77,0,32.94,7.66,1.53,3.83,137.11,0.77,1.53,2.3,0,0,419.75,0,0,0.77,0,8.43,0,1.53,1.53,1.53,1.53
120,0,0,0,0,35.28,3.92,0,25.48,19.6,0,11.76,3.92,0,3.92,5.88,1.96,3.92,0,0,27.44,9.8,1.96,1.96,96.03,1.96,1.96,3.92,0,0,419.39,0,0,0,0,7.84,0,0,0,1.96,0
