stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,spinal_cord
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0.81
 48-58,0,0,0,0.57,0,0.57,0,0,0,0,0,2.87,0,0
 60-70,0,0,0,0,0,3.93,0,0,0.98,0.98,0,5.89,0,0
 72-82,0,0,0.98,0,0,10.8,0,0,0,0.98,0,14.72,0,0.98
 84-94,0,0,0,0,0,8.5,0,0,0,0,0,45.67,0,0
 96-106,0,0,0,0,1.09,14.21,1.09,0,0,2.19,1.09,41.53,0,1.09
108-118,0,0,0,0,0,11.49,0,0.77,0,3.83,0,32.17,0,0
120,0,1.96,0,0,0,7.84,0,0,0,1.96,0,33.32,0,0
