stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0.81,0,0,3.22,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.72,0,0,0,0,0,1.15,0.57,0,2.3,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,8.83,3.93,0.98,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,0,0,0,0,0,21.6,12.76,1.96,3.93,0,0.98,0,0,0,0,0.98,0.98
 84-94,0,1.06,0,1.06,0,1.06,0,1.06,0,20.18,13.81,1.06,0,0,1.06,0,0,0,1.06,1.06,0
 96-106,0,2.19,1.09,3.28,0,0,2.19,0,1.09,37.16,21.86,4.37,6.56,0,2.19,0,0,2.19,0,3.28,0
108-118,0,0,0,0.77,2.3,0,1.53,0,0,35.23,22.21,0.77,0.77,0.77,2.3,0.77,0,0,0,2.3,0
120,0,0,0,1.96,0,0,0,0,0,41.16,27.44,1.96,7.84,0,5.88,1.96,0,1.96,0,3.92,0
