stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,mesenchyme,mucous,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,15.77,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,3,4
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0.82,13.95,0,0,0,3.28,3.28
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,14.5,0,0,0,2.42,2.42
 48-58,0,0,0,0,0.57,0,1.72,0,0,0,0,0,26.4,0.57,0,0,5.16,4.59
 60-70,0,0,0,0,5.89,0,8.83,0,0,1.96,0,0,65.76,0,0,0,9.82,2.94
 72-82,0,0,0,1.96,12.76,0,11.78,0.98,0,6.87,1.96,0,74.61,0.98,0,0,14.72,0.98
 84-94,0,0,0,0,7.43,0,2.12,0,0,2.12,8.5,0,27.61,0,0,2.12,21.24,5.31
 96-106,0,0,0,2.19,5.46,1.09,14.21,1.09,0,4.37,1.09,0,41.53,1.09,0,2.19,25.14,0
108-118,0,0,0,0,2.3,0,5.36,0,0,2.3,1.53,0,26.81,0,0,0.77,11.49,1.53
120,0,0,0,0,3.92,0,5.88,0,0,3.92,0,0,29.4,0,0,3.92,7.84,0
