stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,0,1.64
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,4.03,3.22,0.81,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,4.59,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0.57,0,0,0,0.57,0,0,0,1.72,2.3,0,0,0,2.3,0,0,0.57,0,0,0,0,0.57
 60-70,0,0,0,0,25.52,0,0,1.96,0,0,0,0,16.69,0,0,0,0,0,0,0,0,3.93,0,0,0,2.94,2.94,0,0,0,1.96,0,0,0,2.94,0,0,0,1.96
 72-82,0,0,2.94,0,49.08,2.94,0,20.61,0.98,0.98,2.94,8.83,76.57,0.98,0,0,2.94,0,1.96,2.94,0,15.71,3.93,0,1.96,73.62,8.83,1.96,0,0.98,6.87,0.98,0,1.96,35.34,0,4.91,0.98,2.94
 84-94,0,0,0,0,111.51,2.12,0,18.05,0,0,0,4.25,196.48,0,0,0,4.25,2.12,0,2.12,1.06,8.5,2.12,1.06,2.12,41.42,4.25,3.19,0,0,13.81,0,1.06,2.12,143.38,0,0,1.06,7.43
 96-106,0,0,4.37,1.09,100.54,5.46,1.09,31.69,0,2.19,0,7.65,295.07,0,3.28,3.28,4.37,0,4.37,5.46,0,21.86,5.46,1.09,3.28,87.43,4.37,5.46,0,1.09,16.39,0,0,2.19,153,1.09,6.56,2.19,8.74
108-118,0,0,0.77,0,130.98,2.3,2.3,19.15,0,1.53,0,6.13,356.94,0,0,0.77,3.06,1.53,1.53,3.83,0.77,20.68,7.66,0.77,1.53,78.13,4.6,2.3,0,0.77,8.43,1.53,0,2.3,201.45,0,5.36,0,6.89
120,0,0,0,0,39.2,0,0,9.8,0,0,0,1.96,129.35,0,0,0,1.96,0,0,0,0,9.8,15.68,1.96,5.88,52.91,9.8,3.92,0,0,1.96,0,0,0,74.47,0,3.92,0,3.92
