stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,62,11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,5,0,0,0,0,15,1,0,0,6,0,5,0,0
 24-34,36.12,2.46,0,1.64,3.28,0.82,0,0,0,2.46,0,0,0,0,0,0,3.28,0,0,1.64,5.75,0.82,0,0.82,0,24.63,0,0,0.82,3.28,0,14.78,0,0
 36-46,14.5,0,0,0,2.42,0.81,0,0.81,0,0,0,0,0,0,0,0,8.86,0,0,1.61,13.7,0,2.42,0,0,10.47,0,0,0,9.67,0,8.86,0,0
 48-58,9.18,0,0,1.72,2.87,1.15,0.57,0,0.57,2.3,0.57,0.57,0,0,0,0,8.03,0.57,0,1.15,10.9,0.57,1.15,0,0,2.87,0,0,0,5.16,0,5.74,0,0.57
 60-70,8.83,0,0,2.94,4.91,0.98,0.98,0,0,1.96,0,0,0,0,0.98,0,33.37,0,0.98,1.96,32.39,0,0.98,0,0,8.83,0,0.98,0,13.74,0,4.91,0,0
 72-82,16.69,0,0,4.91,1.96,3.93,9.82,0.98,0,1.96,0,0,0,0,0,0,28.47,0,7.85,3.93,41.23,0.98,0.98,0,0.98,10.8,0,0,0,9.82,3.93,15.71,4.91,0.98
 84-94,30.8,0,0,8.5,11.68,1.06,6.37,1.06,0,0,1.06,3.19,0,2.12,1.06,1.06,31.86,0,3.19,4.25,24.43,0,0,0,0,35.05,0,0,0,4.25,0,7.43,5.31,2.12
 96-106,22.95,2.19,0,4.37,4.37,1.09,6.56,3.28,0,4.37,4.37,1.09,0,0,0,0,40.44,2.19,4.37,3.28,26.23,0,1.09,1.09,2.19,30.6,0,0,0,1.09,0,14.21,3.28,0
108-118,27.57,0.77,0.77,3.83,8.43,1.53,4.6,0.77,0,0.77,2.3,5.36,0.77,2.3,2.3,0,35.23,0,8.43,3.06,23.74,0.77,0.77,0,2.3,24.51,0,0,0,1.53,0.77,9.96,2.3,0
120,29.4,0,0,1.96,5.88,0,0,3.92,0,3.92,0,3.92,0,0,0,0,33.32,3.92,3.92,1.96,33.32,0,1.96,0,1.96,11.76,0,0,0,3.92,0,9.8,0,0
