stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,14.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.79,0,0.57,0,0,0,0.57,0,0,2.3,0,0,0,0,0
 60-70,0,0,0.98,0,0,412.24,0,0,0.98,3.93,0,0,0,0,0,0,0,0,1.96,0,0,1.96,48.09,0,0,0,0,1.96,0.98,0,0.98,1.96,0,0,0,0,0
 72-82,0,0.98,8.83,5.89,0,1259.47,0,0,0,15.71,0,0,1.96,0,0,0,0,0.98,22.58,0,0.98,0.98,110.93,0,0.98,1.96,2.94,2.94,0.98,0,0,6.87,0.98,0,2.94,0.98,3.93
 84-94,0,0,20.18,4.25,0,1292.5,1.06,1.06,0,18.05,0,0,0,0,3.19,0,0,1.06,13.81,0,1.06,0,56.29,2.12,1.06,2.12,0,6.37,0,0,0,4.25,0,0,2.12,4.25,0
 96-106,0,2.19,22.95,5.46,1.09,1135.47,1.09,0,0,17.49,3.28,1.09,2.19,1.09,2.19,0,4.37,0,25.14,0,0,4.37,69.94,2.19,0,5.46,0,6.56,1.09,0,1.09,0,1.09,0,2.19,2.19,2.19
108-118,1.53,0,8.43,3.06,0,865.54,0.77,1.53,1.53,13.02,2.3,0,1.53,0.77,1.53,0,2.3,0,12.26,0,0,2.3,81.96,2.3,0.77,0.77,0,5.36,0.77,0,0,2.3,2.3,2.3,2.3,0.77,0
120,0,0,15.68,9.8,0,915.22,1.96,0,0,9.8,1.96,0,0,3.92,0,1.96,5.88,0,13.72,1.96,0,1.96,90.15,1.96,3.92,1.96,1.96,11.76,0,0,0,1.96,0,0,3.92,0,0
