stage,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,ionocyte,mesenchyme,neural,otic,spinal.cord,taste,xanthophores
 14-21,0,0,1,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,4.59,0,1.15,0,0
 60-70,0,0,4.91,0,0,0,0,0.98,14.72,0,0.98,0,0
 72-82,0,0,4.91,0,0.98,0,0,0.98,11.78,0,0.98,0.98,0
 84-94,0,0,0,1.06,2.12,0,0,0,7.43,0,3.19,4.25,0
 96-106,0,0,0,0,1.09,0,1.09,0,6.56,0,0,19.67,1.09
108-118,0.77,0,2.3,0,0,0.77,0,0.77,8.43,0,0,31.4,0
120,0,1.96,3.92,0,3.92,1.96,0,0,13.72,0,0,11.76,0
