stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,heart,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,9.44,0,0,0,0,0
 14-21,0,1,1,0,0,0,1,0,0,1,7,4,1,0,6,0,3,19,2
 24-34,0,0,0,0,0.82,0,0,0,0,4.1,0.82,1.64,0.82,0,0,0,1.64,5.75,0
 36-46,0,0,0,0,0,0,0,0,0.81,0.81,0,1.61,0,0,0,0,0.81,0.81,0
 48-58,0,0,0,0,0.57,0.57,0.57,0,0.57,1.72,0.57,4.02,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0.98,0,0,0,1.96,0.98,3.93,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,0,0,0,0,1.06,0,0,0,1.06,1.06,0,0
 96-106,0,0,1.09,0,0,2.19,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,1.53,0,0,0,0.77,1.53,0.77,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
