stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1106.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,300.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,10.51,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,0,7,0,0,0,4,0,0,0,0,0,0,0,2,4,0,0,0,100,0,2,1,0,0,0,0,2,0,0,33,0,0,1,0,1
 24-34,0,0,0,0,0.82,0,0,30.37,0,2.46,0,3.28,0,0.82,0,0,0,0,0,4.1,16.42,0,0,6.57,368.56,0,6.57,4.93,0,0,0.82,0,0,0,0.82,107.53,0,0,2.46,0,0.82
 36-46,0,0,0,0,3.22,0,0,78.96,0,0,4.03,10.47,0,2.42,0,0,0,0,0,14.5,81.37,0,0.81,19.34,961.16,0,4.83,4.83,0,0,0,0,0.81,0,0,228,0,0,5.64,0,1.61
 48-58,0,0.57,0,0,2.3,0.57,0,287.48,0,0,5.16,30.99,0,2.87,0.57,0,0,0.57,0,10.9,137.71,0.57,1.72,17.21,1046.62,0,5.16,2.87,0,0.57,2.87,0,0,0.57,0,195.67,0,0.57,1.72,0,7.46
 60-70,0,0,0.98,0,7.85,0,0,683.14,0,0.98,15.7,30.43,0,2.94,0,0,0.98,0.98,0,2.94,180.6,0,3.93,12.76,1285.79,0,1.96,2.94,0,0,0.98,0,0,0,0,170.78,0,10.8,1.96,2.94,6.87
 72-82,0,0,0,0,7.85,1.96,0.98,606.67,0.98,0,12.76,51.05,0.98,4.91,0,0,3.93,0.98,0,7.85,218.91,0,8.83,7.85,956.14,0,0,8.83,0,0.98,1.96,0,0,0,0,71.66,0,9.82,3.93,10.8,1.96
 84-94,0,0,1.06,0,6.37,2.12,0,425.88,1.06,2.12,10.62,43.54,0,3.19,1.06,2.12,8.5,2.12,1.06,9.56,138.06,0,8.5,4.25,387.64,1.06,2.12,8.5,0,1.06,1.06,0,0,0,0,49.92,0,7.43,2.12,5.31,1.06
 96-106,0,0,0,0,8.74,0,0,323.48,1.09,1.09,7.65,39.34,1.09,4.37,0,1.09,7.65,3.28,2.19,8.74,116.93,0,3.28,4.37,307.09,0,1.09,12.02,0,3.28,6.56,0,0,0,0,14.21,0,5.46,9.84,15.3,7.65
108-118,0.77,0,0,0,6.13,0.77,0,265.79,0,0.77,3.83,29.11,0.77,3.06,1.53,0,3.83,2.3,0.77,9.96,91.92,0,3.83,5.36,382.22,0.77,6.13,7.66,0,1.53,0.77,0,0,0,0,14.55,2.3,1.53,2.3,6.13,4.6
120,0,0,0,0,7.84,1.96,1.96,217.54,0,1.96,3.92,35.28,0,1.96,1.96,0,5.88,3.92,0,3.92,78.39,0,3.92,5.88,384.12,0,1.96,7.84,0,0,3.92,0,0,0,0,7.84,1.96,9.8,3.92,11.76,0
