stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,5,3,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,75,0,0,0,0,0,0,0,2,4,2,37,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,50.07,0,0,0,20.52,0,0,0,0,0,0,0,0.82,0,5.75,0,0,2.46,115.74,0,1.64,0.82,0,0,0,0,0,0,0,45.15,0,0,0,0,0
 36-46,0,0,0.81,0.81,0,0,742.83,0,0,0,91.04,0.81,0,0,0,0,0,0,0,0,3.22,0,0,2.42,141.8,0,8.06,0,0,0,1.61,0.81,0,0,0,37.87,0,0,0,0,0
 48-58,0,0,0,2.87,1.15,0,1774.2,0,0.57,0,301.82,0,0,0,0.57,0,0.57,0,0.57,0,16.07,0,0,4.59,225.51,0.57,6.31,0.57,0,0.57,1.72,0,0,0.57,0,79.76,0,0,2.3,0,1.15
 60-70,0,0,0,3.93,0.98,0,2953.4,0,1.96,0,597.75,0,0,0,1.96,0.98,1.96,0.98,0,0,20.61,0,0,2.94,250.29,0.98,7.85,0.98,0,0.98,0,0,0,0.98,0,67.73,0,0.98,0.98,0,1.96
 72-82,0,0,0,15.71,0.98,0,2442.37,0.98,0.98,0,818.71,1.96,0,0,0.98,0,0,0,0,0,41.23,0.98,0.98,3.93,383.83,0,13.74,2.94,0,0.98,1.96,0,0,0,0,30.43,0.98,2.94,1.96,6.87,1.96
 84-94,0,0,0,30.8,1.06,0,1418.88,0,2.12,1.06,568.19,1.06,0,1.06,1.06,0,4.25,0,1.06,0,36.11,0,3.19,3.19,219.84,1.06,4.25,0,0,0,2.12,0,0,2.12,0,26.55,2.12,0,3.19,6.37,0
 96-106,0,1.09,0,26.23,1.09,1.09,1057.88,1.09,1.09,2.19,574.84,1.09,0,3.28,3.28,0,3.28,1.09,3.28,0,32.79,0,1.09,0,263.38,0,13.11,2.19,0,1.09,3.28,0,0,1.09,0,12.02,0,3.28,1.09,1.09,0
108-118,0,0,0,8.43,2.3,0,690.9,0,0,2.3,497.11,2.3,0,0.77,0.77,2.3,0.77,1.53,6.13,0.77,21.45,0,0.77,0,241.28,0.77,2.3,1.53,0,0,2.3,0,0,0,0,7.66,1.53,0,0.77,0.77,0
120,0,0,0,15.68,0,1.96,538.94,0,3.92,0,599.69,0,0,0,3.92,0,0,0,0,0,25.48,1.96,1.96,1.96,203.82,3.92,1.96,0,0,0,1.96,0,0,1.96,0,11.76,0,0,0,1.96,0
