stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,47.2,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,4,0,4,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,2,5,12,0,1,0,0,0,9,72,7,0,0,0,0,0
 24-34,0,0,6.57,0,4.93,0,0.82,14.78,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0.82,73.88,33.66,0.82,0,0,2.46,0.82,0,0.82,25.45,0,0,0.82,0,0
 36-46,0,0,2.42,0,1.61,0,4.03,4.03,0.81,1.61,0,0,0,0,0,0,0.81,2.42,0,0,3.22,157.91,22.56,0,0,0,0.81,0,0,0,49.95,0,0,1.61,0,0
 48-58,0,0,0.57,0,0,0,16.07,7.46,0.57,4.02,0,0,0,0,0,0,0.57,9.18,0,0,9.18,188.78,13.2,0,0,0,0,0,0,0.57,41.89,0,0,1.15,0,1.15
 60-70,0,0,0.98,0,0.98,0,30.43,5.89,0.98,8.83,0.98,0,0,0,0.98,0,0.98,17.67,0,0,7.85,301.33,13.74,0,0,0,0.98,0,0,0,30.43,0,0,0,0.98,0
 72-82,0,0,17.67,0.98,2.94,0,55.95,0.98,0,12.76,4.91,0,0,0.98,1.96,0,0,24.54,0,0.98,8.83,412.3,33.38,0.98,0,0.98,1.96,0,0,0,26.5,0,0,0,1.96,0.98
 84-94,0,0,14.87,2.12,4.25,0,45.67,2.12,0,13.81,7.43,1.06,0,1.06,3.19,0,0,20.18,0,0,5.31,220.9,22.3,0,0,1.06,2.12,0,0,0,23.36,2.12,1.06,1.06,0,0
 96-106,0,0,15.3,0,3.28,1.09,31.69,2.19,0,8.74,8.74,0,1.09,0,1.09,0,1.09,13.11,1.09,0,9.84,185.78,43.71,1.09,0,0,0,0,0,0,10.93,1.09,0,0,2.19,3.28
108-118,0,0,8.43,1.53,6.13,0.77,36,4.6,0.77,10.72,6.89,0,1.53,0.77,0,0.77,0.77,14.55,0,0,12.26,288,23.74,0.77,0,0,0.77,0,0,0,10.72,1.53,0,0,5.36,0
120,0,0,1.96,0,3.92,0,33.32,1.96,0,3.92,3.92,0,3.92,1.96,0,0,0,1.96,0,0,15.68,266.53,15.68,0,0,0,0,0,0,0,5.88,0,1.96,1.96,0,0
