stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,10,161,36,0,93,0,1,0,29,7,0,1,0,4,0,0,0,2,78,0,0,72,1114,18,5,16,28,0,14,0,103,16,0,125,402,0,0,7,0,4
 24-34,2.46,5.75,48.43,5.75,0,226.56,0,2.46,2.46,26.27,4.1,0.82,2.46,4.1,2.46,2.46,5.75,7.39,2.46,183.05,0.82,0,72.24,1942.15,4.1,14.78,19.7,0,0,37.76,0,1.64,4.1,0.82,21.34,389.91,0,0,35.3,0,4.93
 36-46,0,0.81,16.92,2.42,0,405.25,1.61,6.45,7.25,72.51,2.42,0,2.42,0,1.61,0,4.83,1.61,0.81,149.05,1.61,0.81,40.28,2011.76,4.83,12.09,8.06,0,0,27.39,0,0,3.22,0,0,439.09,0,0,23.36,0,4.83
 48-58,0.57,0,25.25,1.72,0,601.35,2.87,3.44,7.46,109.02,0.57,0,4.02,1.15,1.72,0,5.74,1.72,4.59,206.57,0.57,6.89,37.3,1379.43,2.87,5.16,10.33,0,1.15,20.08,0,0,1.72,0.57,0,288.62,0,0,16.07,0,1.72
 60-70,1.96,0,23.56,1.96,0,637.01,0.98,8.83,2.94,128.58,2.94,0,1.96,4.91,1.96,4.91,4.91,0.98,0,202.19,1.96,9.82,28.46,1162.12,5.89,3.93,7.85,0,1.96,25.52,0,0,5.89,0.98,0,151.15,1.96,4.91,12.76,2.94,1.96
 72-82,2.94,0,38.28,15.71,0.98,461.38,2.94,5.89,9.82,120.74,13.74,0.98,4.91,9.82,2.94,3.93,4.91,0.98,0.98,242.47,2.94,7.85,24.54,873.68,3.93,6.87,15.71,0,1.96,20.61,0.98,0,4.91,0.98,0,49.08,3.93,3.93,36.32,9.82,4.91
 84-94,6.37,1.06,37.17,13.81,1.06,299.49,0,6.37,7.43,77.53,15.93,5.31,3.19,15.93,6.37,6.37,5.31,2.12,1.06,167.8,1.06,8.5,26.55,482.16,3.19,10.62,6.37,0,0,65.85,0,0,6.37,0,0,37.17,3.19,5.31,35.05,8.5,2.12
 96-106,2.19,0,45.9,12.02,0,213.11,5.46,7.65,4.37,80.87,17.49,1.09,6.56,15.3,7.65,8.74,2.19,2.19,0,143.16,3.28,13.11,19.67,379.22,1.09,13.11,18.58,0,1.09,62.29,0,0,3.28,1.09,0,16.39,2.19,1.09,21.86,7.65,1.09
108-118,1.53,0.77,39.83,8.43,6.89,183.83,0.77,6.89,7.66,62.04,9.19,0,2.3,20.68,7.66,11.49,3.83,5.36,2.3,120.26,1.53,3.06,29.11,431.24,2.3,13.02,11.49,0,3.83,42.89,0,0,2.3,0,0,11.49,6.13,1.53,18.38,7.66,4.6
120,0,0,50.95,21.56,0,162.66,5.88,13.72,3.92,52.91,9.8,0,0,11.76,1.96,5.88,1.96,3.92,0,97.99,1.96,1.96,21.56,362.56,3.92,1.96,5.88,0,5.88,33.32,0,0,5.88,0,0,9.8,1.96,1.96,19.6,0,0
