stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,hatching.gland,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,18.39,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,2.63,18.4,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,113.03,5.26,0,0,31.54,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0,0,66.09,0,0,0,28.32,0,0,0,0,0,0,0,0
 14-21,0,0,1,13,0,5,0,0,0,0,0,0,0,0,0,7,0,0,9,71,2,1,1,2,1,7,1,15,14,0,0,0
 24-34,0,0,0.82,1.64,0,5.75,0,0,0,0.82,0,0,0,0.82,0,2.46,0,0,3.28,48.43,0.82,0,0,0,0,0,0,1.64,16.42,1.64,0,0.82
 36-46,0,0,0,1.61,0,16.92,0.81,0,0,4.83,0,0.81,0,0.81,0,8.06,0,0,1.61,43.51,0,0.81,0,0,0.81,0,0,0,12.09,0,0,0.81
 48-58,0,0,0,0.57,0,18.36,0.57,0,0,4.59,0,0,0,0,0,12.62,0,1.15,4.02,43.04,0,0,0,0,0.57,0,0,0,5.16,0.57,0,0.57
 60-70,0,0,0,1.96,0,22.58,0,0,0,3.93,0,0,0,0,0.98,15.7,0,0.98,0,18.65,0,0,0,0,1.96,0,0,0,2.94,0.98,0,0
 72-82,0,0,0,0,0,13.74,0,0,0,4.91,0,0,0,0,0,7.85,0,0,0,15.71,0,0.98,0,0,0,0,0,0,4.91,0.98,0.98,0
 84-94,0,0,0,2.12,0,5.31,0,0,0,3.19,0,1.06,0,0,0,6.37,1.06,1.06,3.19,14.87,0,0,1.06,0,0,0,0,0,2.12,1.06,0,1.06
 96-106,0,0,0,3.28,0,6.56,1.09,1.09,0,2.19,0,0,1.09,0,0,8.74,0,0,3.28,10.93,0,0,1.09,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,3.06,0.77,2.3,0,0,0,2.3,0,0,0,0,0,4.6,0,0,2.3,8.43,0.77,0,0,0,1.53,0,0,0,0.77,0.77,0,0
120,0,0,0,5.88,0,5.88,0,0,1.96,3.92,0,0,0,0,0,1.96,0,0,5.88,7.84,0,0,0,0,7.84,0,0,0,0,1.96,0,0
