stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,hatching.gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,spinal.cord
  3-4,0,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,220.67,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,12.26,0,0
  7-9,0,5.26,0,7.89,0,0,0,0,0,0,0,76.23,0,0,0,13.14,0,5.26,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,44.06,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,1,0,1,0,0,11,0,0,0,0,3,1,2
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,5.75,0,0,0,0,6.57,0,1.64
 36-46,0,0,0.81,0.81,0,0,0,0,0.81,1.61,0,0.81,0,0,0,0,3.22,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,3.44,0,0.57,0,0,2.3,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,7.85,0,1.96,0,0,3.93,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,1.96,0.98,6.87,0,2.94,0,0,12.76,0,0
 84-94,0,0,1.06,1.06,0,0,0,0,0,1.06,0,2.12,0,1.06,0,0,13.81,0,0
 96-106,0,0,2.19,1.09,0,0,0,0,0,1.09,0,6.56,0,1.09,2.19,0,28.41,1.09,1.09
108-118,0,0,0.77,0.77,0,0.77,0,0.77,0,3.06,0,3.06,0.77,0.77,0,0,18.38,0.77,0
120,0,0,0,1.96,1.96,1.96,0,0,0,0,0,7.84,0,0,0,0,17.64,1.96,0
