stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,somites,spinal_cord,vascular_smooth_muscle
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,2.63,0,2.63,0,0,0,0,31.54,2.63,23.66,0,0,0
 10-12,0,0,9.44,0,0,0,3.15,0,0,0,0,37.76,0,25.18,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,0,4.1,0,0,0.82,2.46,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0.81,6.45,0,0,0,1.61,0
 48-58,0,0,0,0,1.15,0,0,0,0.57,0.57,0,1.72,0,0,0,0.57,0
 60-70,0,0,0,0,1.96,0.98,0,0,0,0,0,0.98,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0,0.77,0,0,0,0,0.77
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
