stage,blastomeres,epidermis,fin_mesenchyme,gut,ionocyte,lateral_line,mesenchyme,mucous,neural,olfactory,periderm,vascular_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,2.3,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,2.94,0
 72-82,0,0.98,0,0,1.96,0,0,0.98,0,0,0,0
 84-94,0,0,0,1.06,4.25,0,0,0,0,0,2.12,0
 96-106,0,5.46,0,0,12.02,0,1.09,0,1.09,1.09,8.74,0
108-118,0,0.77,0.77,0,9.19,1.53,0.77,0.77,0,0,4.6,0
120,0,1.96,0,0,1.96,0,0,0,0,0,11.76,1.96
