stage,epidermis,eye,glial,iridophores,melanocytes,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,xanthophores
  7-9,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0
 14-21,2,0,0,0,0,0,3,0,0,0,0,1,0,0
 24-34,0.82,0,0,0,0,0,4.1,0,0.82,0,0.82,4.1,0,0
 36-46,0,0,0,0.81,0,0,4.83,0,0,0,5.64,0.81,0,0.81
 48-58,0,0.57,0.57,0,0,1.15,8.61,0.57,0,0,1.72,0.57,0,0
 60-70,0,4.91,0.98,0,0,0.98,20.61,0,0,0,2.94,5.89,0,0
 72-82,0,0.98,0.98,0,0,0.98,1.96,0.98,0,0,4.91,0,0.98,0
 84-94,0,1.06,0,0,0,1.06,3.19,0,0,0,8.5,1.06,1.06,0
 96-106,1.09,0,0,0,0,1.09,1.09,0,0,0,21.86,0,0,0
108-118,0,2.3,0,0,0.77,0,1.53,0,0,0,11.49,0,0,0
120,0,1.96,0,0,0,0,0,0,0,0,21.56,0,0,0
