stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,724.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,373.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.35,0,0,0,10.51,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,6.29,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412.25,0,0,0,40.91,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,48,4,95,0,1,0,16,3,1,0,1,0,0,0,1,20,0,0,10,1320,2,4,3,12,0,1,0,38,3,0,87,157,0,0,1,0,0
 24-34,0,0,1.64,0,23.8,1.64,64.85,0,0.82,0.82,45.15,0.82,0,0,1.64,0,0.82,0.82,4.1,37.76,1.64,0,12.31,2772.03,2.46,26.27,9.85,0.82,0,3.28,0,0,0.82,0.82,13.95,357.89,0,0,3.28,0,0
 36-46,0,0,0,0,8.06,0.81,46.73,0,0,1.61,128.1,0,0,0,0,0,0.81,0.81,0,52.37,0,0,17.72,2480.66,0.81,19.34,3.22,0,0,1.61,0,0,0.81,0,0,385.92,0,0,3.22,0,1.61
 48-58,0,0,0,0,10.9,0.57,156.65,0,1.72,2.87,193.95,0,0.57,1.15,0,0,2.87,0.57,0,77.46,0.57,0.57,16.64,1564.19,0.57,18.94,6.89,0,0,1.72,0,0,0.57,0,0,341.99,0,0,0.57,0,2.3
 60-70,0,0,0,0,12.76,0,352.37,0.98,1.96,3.93,178.64,0,0,0.98,0,0,2.94,0,0,120.73,0,0.98,11.78,1430.08,0,15.7,16.69,0,0,0.98,0,0,0,1.96,0,240.47,0,0.98,0.98,0,0.98
 72-82,0,0,0.98,0,21.6,0.98,422.11,0,0,4.91,229.71,0.98,1.96,0.98,0,0.98,2.94,0,0,163.94,0,0.98,8.83,1424.39,0.98,18.65,16.69,0,0.98,2.94,0,0,0.98,0,0,152.16,0.98,1.96,0.98,0.98,1.96
 84-94,0,0,0,0,20.18,2.12,294.18,0,4.25,3.19,146.56,1.06,0,3.19,0,4.25,2.12,1.06,0,117.89,1.06,1.06,6.37,668.02,0,12.74,27.61,0,1.06,2.12,0,0,0,0,0,76.47,2.12,1.06,1.06,2.12,0
 96-106,0,0,1.09,0,17.49,1.09,231.68,0,2.19,4.37,139.88,4.37,0,2.19,1.09,2.19,4.37,2.19,1.09,87.43,1.09,1.09,6.56,594.51,1.09,22.95,22.95,0,0,2.19,0,0,2.19,0,0,31.69,0,1.09,2.19,1.09,1.09
108-118,0,0,0,0.77,9.19,0.77,233.62,0.77,1.53,0.77,109.53,3.06,0,0.77,0.77,0,0.77,1.53,0.77,74.3,0,2.3,6.89,658.73,0.77,16.09,19.15,0,0,3.06,0,0,3.06,0,0,26.81,3.06,0.77,1.53,0.77,1.53
120,0,0,0,0,15.68,0,237.13,0,0,1.96,150.9,3.92,0,3.92,1.96,1.96,3.92,0,0,86.23,1.96,0,5.88,811.35,1.96,23.52,17.64,0,0,3.92,0,0,0,0,0,33.32,1.96,1.96,1.96,0,0
