stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,olfactory,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,12.31,0.82,0,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,33.84,0,0,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0.57,0,47.05,0,0,0,0,0.57,6.89,0,0,0.57,0
 60-70,0,0,0,0,0,4.91,0,0,0.98,0,0,0,0,4.91,0,155.08,0.98,0,1.96,0,0,8.83,0,0,0,0
 72-82,0,1.96,0,0.98,0,10.8,0,0.98,6.87,0,0.98,0,0,4.91,0.98,235.6,0.98,0,0,0,0,15.71,0,0,0,0
 84-94,0,0,0,0,1.06,8.5,0,0,2.12,0,0,0,0,7.43,0,125.32,0,0,1.06,1.06,0,9.56,0,0,0,0
 96-106,0,0,0,0,1.09,13.11,0,0,4.37,0,0,0,0,1.09,0,153,1.09,0,0,0,0,6.56,0,0,0,1.09
108-118,0,0,0,0.77,0,10.72,0.77,0,3.06,0.77,0,0,0,2.3,0.77,144.77,0,0.77,0,0,0,3.06,0.77,0.77,0,0
120,0,0,0,3.92,0,7.84,0,0,3.92,0,0,1.96,1.96,1.96,0,256.73,0,0,1.96,0,0,5.88,0,0,0,0
